Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,CMultStdev,0.00033363774,,,,,,,,,,
WorkFlow,tvVmax,0.049549887,1088.9689,,,,,,,,,
WorkFlow,tvKm,-0.016366377,-107.19478,26.232647,,,,,,,,
WorkFlow,tvV,7.6880107e-05,15.151413,-1.5575413,0.31028471,,,,,,,
WorkFlow,tvKa,-0.00022173929,1.1928652,-0.10152883,0.023438938,0.0022768528,,,,,,
WorkFlow,K12,-1.2069204e-05,0.021393622,-0.0076147985,-0.00019530314,1.3074771e-05,1.1417196e-05,,,,,
WorkFlow,K21,2.6437217e-05,-0.0033361449,0.0023863003,0.00030367598,-8.635126e-06,-3.2617311e-06,1.0214173e-05,,,,
WorkFlow,stdev0,-2.993978e-05,0.30394933,-0.024508795,0.0037439007,0.0003514789,2.0263123e-05,4.1602827e-06,0.00033574328,,,
WorkFlow,nVmax-nVmax,-3.3543032e-05,-0.14588229,0.05497786,-0.0014146373,-9.1439089e-05,-3.0021915e-05,1.9704671e-05,-4.608578e-05,0.00030937081,,
WorkFlow,nV-nVmax,0,0,0,0,0,0,0,0,0,0,
WorkFlow,nV-nV,8.0618102e-05,-0.23813539,0.028305416,-0.010225678,-0.00048809464,5.2545559e-05,-2.8717399e-05,-7.0844998e-06,1.8059574e-05,0,0.00092069522
