"Scenario","Iter","Parameter","Value"
"WorkFlow",17,"tvKa",0.782882
"WorkFlow",17,"K12",2.62311
"WorkFlow",17,"K21",2.44478
"WorkFlow",18,"-2LL",6594.17152
"WorkFlow",18,"CMultStdev",0.623604
"WorkFlow",18,"tvVmax",3537.41
"WorkFlow",18,"tvKm",2021.49
"WorkFlow",18,"tvV",59.0012
"WorkFlow",18,"tvKa",0.766828
"WorkFlow",18,"K12",2.62207
"WorkFlow",18,"K21",2.48184
"WorkFlow",19,"-2LL",6593.6443
"WorkFlow",19,"CMultStdev",0.6149
"WorkFlow",19,"tvVmax",3551.11
"WorkFlow",19,"tvKm",2039.39
"WorkFlow",19,"tvV",59.1398
"WorkFlow",19,"tvKa",0.74675
"WorkFlow",19,"K12",2.62091
"WorkFlow",19,"K21",2.51864
"WorkFlow",20,"-2LL",6593.63602
"WorkFlow",20,"CMultStdev",0.611663
"WorkFlow",20,"tvVmax",3524.16
"WorkFlow",20,"tvKm",2028.42
"WorkFlow",20,"tvV",59.0284
"WorkFlow",20,"tvKa",0.743237
"WorkFlow",20,"K12",2.61811
"WorkFlow",20,"K21",2.52695
"WorkFlow",21,"-2LL",6593.58152
"WorkFlow",21,"CMultStdev",0.609235
"WorkFlow",21,"tvVmax",3481.95
"WorkFlow",21,"tvKm",2007.24
"WorkFlow",21,"tvV",58.861
"WorkFlow",21,"tvKa",0.740081
"WorkFlow",21,"K12",2.61623
"WorkFlow",21,"K21",2.53181
"WorkFlow",22,"-2LL",6593.2077
"WorkFlow",22,"CMultStdev",0.606167
"WorkFlow",22,"tvVmax",3545.68
"WorkFlow",22,"tvKm",2050.1
"WorkFlow",22,"tvV",58.9276
"WorkFlow",22,"tvKa",0.754423
"WorkFlow",22,"K12",2.61066
"WorkFlow",22,"K21",2.52632
"WorkFlow",23,"-2LL",6593.12378
"WorkFlow",23,"CMultStdev",0.604913
"WorkFlow",23,"tvVmax",3607.37
"WorkFlow",23,"tvKm",2088.12
"WorkFlow",23,"tvV",59.05
"WorkFlow",23,"tvKa",0.762778
"WorkFlow",23,"K12",2.60902
"WorkFlow",23,"K21",2.52298
"WorkFlow",24,"-2LL",6593.00962
"WorkFlow",24,"CMultStdev",0.588972
"WorkFlow",24,"tvVmax",3607.94
"WorkFlow",24,"tvKm",2110.95
"WorkFlow",24,"tvV",58.7419
"WorkFlow",24,"tvKa",0.767078
"WorkFlow",24,"K12",2.59664
"WorkFlow",24,"K21",2.54636
"WorkFlow",25,"-2LL",6592.9757
"WorkFlow",25,"CMultStdev",0.588309
"WorkFlow",25,"tvVmax",3585.39
"WorkFlow",25,"tvKm",2097.9
"WorkFlow",25,"tvV",58.6883
"WorkFlow",25,"tvKa",0.7618
"WorkFlow",25,"K12",2.59908
"WorkFlow",25,"K21",2.5465
"WorkFlow",26,"-2LL",6592.97568
"WorkFlow",26,"CMultStdev",0.588284
"WorkFlow",26,"tvVmax",3584.91
"WorkFlow",26,"tvKm",2097.64
"WorkFlow",26,"tvV",58.6868
"WorkFlow",26,"tvKa",0.761709
"WorkFlow",26,"K12",2.59911
"WorkFlow",26,"K21",2.54652
