
 WorkFlow
Start 2024-09-22 17:20:01  Run : 7.66666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm      tvV     tvKa     K12      K21    dVdWT
    1 6520.593   0.423648 6160.69 2425.15 47.79430 1.084470 1.79569 3.268030 1.153790
    2 6456.751   0.433566 6571.79 2190.54 42.15530 1.134360 1.48690 3.535570 1.135030
    3 6427.417   0.565848 6290.30 2397.44 45.51310 1.163380 1.67098 3.394760 1.135760
    4 6421.122   0.539277 6452.93 2306.41 45.58370 1.203410 1.69604 3.369110 1.111700
    5 6416.006   0.507727 6694.14 2151.74 45.57900 1.270010 1.74117 3.286590 1.052150
    6 6412.524   0.506446 6799.40 2071.03 45.52580 1.293820 1.76222 3.238380 1.040870
    7 6410.305   0.526371 7466.09 1560.29 44.80520 1.463680 1.92455 2.776340 0.982969
    8 6393.334   0.529767 6816.04 1996.18 45.02620 1.354580 1.82371 3.044710 1.019720
    9 6382.159   0.535454 6728.18 1998.38 44.55470 1.367210 1.83259 2.985550 1.013420
   10 6376.658   0.536197 6683.93 1993.80 44.29380 1.366560 1.82959 2.969890 1.009570
   11 6372.583   0.535570 6628.68 1983.99 44.06300 1.353250 1.81592 2.976890 1.011270
   12 6371.104   0.534279 6574.16 1970.87 43.85710 1.336610 1.80108 2.968550 1.003000
   13 6370.024   0.531368 6524.75 1971.33 43.86540 1.292850 1.77311 3.072560 1.025510
   14 6369.586   0.523166 6423.01 2013.60 44.42960 1.223940 1.72277 3.296210 1.099980
   15 6369.257   0.525682 6443.56 1996.41 44.50750 1.237570 1.74045 3.252720 1.055180
   16 6369.160   0.527127 6446.70 1968.47 44.54950 1.238200 1.75514 3.229010 1.037250
   17 6369.118   0.527555 6420.59 1959.96 44.49200 1.233320 1.76554 3.223010 1.036150
   18 6369.064   0.528310 6378.52 1938.88 44.37450 1.235100 1.77316 3.179370 1.026820
   19 6368.917   0.528075 6304.23 1905.81 44.06500 1.229810 1.77961 3.125120 1.036430
   20 6368.911   0.527545 6298.74 1911.72 44.07560 1.230300 1.77936 3.138750 1.041420
   21 6368.887   0.526362 6252.24 1910.85 44.00490 1.226910 1.78164 3.149660 1.048190
   22 6368.836   0.525813 6200.93 1891.56 43.88110 1.226520 1.79628 3.153940 1.056710
