StartTime,EndTime,Model_num,this_comp,this_eta,this_vwt,this_gamma,n_theta,n_omega,Est_time,Cov_time,Success,Covar,Iterations,Algorithm,Good_inits,log_path,control_file,data_set,nparms,messages,crash,NPDECmaxMean,NPDECmaxSD,NPDECminMean,NPDECminSD,SimRunTime
2024-05-21 17:23 PDT,2024-05-21 17:31 PDT,33,2,2,1,0,10,3,408.219,75.641,TRUE,TRUE,76,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run33/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/33/Run33.mmdl,c:/git/dual_numbers/data/sim_2_2_1_0.csv ,13,3,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,4
2024-05-21 17:31 PDT,2024-05-21 17:46 PDT,34,2,3,1,0,10,4,770.656,100.984,TRUE,TRUE,135,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run34/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/34/Run34.mmdl,c:/git/dual_numbers/data/sim_2_3_1_0.csv ,14,3,FALSE,0.00444500336010571,0.981646413794709,-0.000452849586485568,0.970996742369146,4
2024-05-21 17:46 PDT,2024-05-21 17:58 PDT,35,2,4,1,0,10,3,572.391,92.297,TRUE,TRUE,112,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run35/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/35/Run35.mmdl,c:/git/dual_numbers/data/sim_2_4_1_0.csv ,13,3,FALSE,0.00473891079360118,0.975418995437041,0.00300237794384288,0.982436173800308,4
2024-05-21 17:58 PDT,2024-05-21 18:04 PDT,36,2,5,1,0,10,6,369.75,0.062,TRUE,TRUE,74,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run36/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/36/Run36.mmdl,c:/git/dual_numbers/data/sim_2_5_1_0.csv ,16,3,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,4
2024-05-21 18:04 PDT,2024-05-21 18:06 PDT,37,0,0,0,1,6,1,73,0.109,TRUE,TRUE,55,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run37/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/37/Run37.mmdl,c:/git/dual_numbers/data/sim_0_0_0_1.csv ,7,1,FALSE,-0.00125634877985678,0.976719096479993,0.00139796419934696,0.978667357590546,6
2024-05-21 18:06 PDT,2024-05-21 18:08 PDT,38,0,1,0,1,6,2,61.375,35.156,TRUE,TRUE,23,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run38/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/38/Run38.mmdl,c:/git/dual_numbers/data/sim_0_1_0_1.csv ,8,1,FALSE,0.00473891079360118,0.975418995437041,0.00300237794384288,0.982436173800308,5
2024-05-21 18:08 PDT,2024-05-21 18:13 PDT,39,0,2,0,1,6,3,240.734,64.703,TRUE,TRUE,55,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run39/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/39/Run39.mmdl,c:/git/dual_numbers/data/sim_0_2_0_1.csv ,9,3,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,6
2024-05-21 18:13 PDT,2024-05-21 18:19 PDT,40,0,3,0,1,6,4,265.188,80.109,TRUE,TRUE,55,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run40/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/40/Run40.mmdl,c:/git/dual_numbers/data/sim_0_3_0_1.csv ,10,1,FALSE,0.00444500336010571,0.981646413794709,-0.000452849586485568,0.970996742369146,5
2024-05-21 18:19 PDT,2024-05-21 18:22 PDT,41,0,4,0,1,6,3,115.531,42.812,TRUE,TRUE,41,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run41/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/41/Run41.mmdl,c:/git/dual_numbers/data/sim_0_4_0_1.csv ,9,1,FALSE,0.00473891079360118,0.975418995437041,0.00300237794384288,0.982436173800308,5
2024-05-21 18:22 PDT,2024-05-21 18:32 PDT,42,0,5,0,1,6,6,422.734,104.531,TRUE,TRUE,115,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run42/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/42/Run42.mmdl,c:/git/dual_numbers/data/sim_0_5_0_1.csv ,12,1,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,13
2024-05-21 18:32 PDT,2024-05-21 18:40 PDT,43,1,0,0,1,8,1,473.453,37.859,TRUE,TRUE,137,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run43/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/43/Run43.mmdl,c:/git/dual_numbers/data/sim_1_0_0_1.csv ,9,3,FALSE,-0.00125634877985678,0.976719096479993,0.00139796419934696,0.978667357590546,6
2024-05-21 18:40 PDT,2024-05-21 18:48 PDT,44,1,1,0,1,8,2,341.781,95.281,TRUE,TRUE,46,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run44/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/44/Run44.mmdl,c:/git/dual_numbers/data/sim_1_1_0_1.csv ,10,3,FALSE,0.00473891079360118,0.975418995437041,0.00300237794384288,0.982436173800308,7
2024-05-21 18:48 PDT,2024-05-21 19:02 PDT,45,1,2,0,1,8,3,565.688,235.359,FALSE,TRUE,56,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run45/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/45/Run45.mmdl,c:/git/dual_numbers/data/sim_1_2_0_1.csv ,11,7,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,10
2024-05-21 19:02 PDT,2024-05-21 19:14 PDT,46,1,3,0,1,8,4,591.125,105.5,TRUE,TRUE,91,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run46/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/46/Run46.mmdl,c:/git/dual_numbers/data/sim_1_3_0_1.csv ,12,1,FALSE,0.00444500336010571,0.981646413794709,-0.000452849586485568,0.970996742369146,7
2024-05-21 19:14 PDT,2024-05-21 19:26 PDT,47,1,4,0,1,8,3,517.984,140.594,TRUE,TRUE,64,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run47/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/47/Run47.mmdl,c:/git/dual_numbers/data/sim_1_4_0_1.csv ,11,3,FALSE,0.00473891079360118,0.975418995437041,0.00300237794384288,0.982436173800308,9
2024-05-21 19:26 PDT,2024-05-21 19:38 PDT,48,1,5,0,1,8,6,493.656,217.938,TRUE,TRUE,65,NLME_dual,TRUE,c:/git/dual_numbers/compileresults/nlme_dual/Run48/nlme7engine.log,c:/git/dual_numbers/compileresults/nlme_dual/../nlme/48/Run48.mmdl,c:/git/dual_numbers/data/sim_1_5_0_1.csv ,14,3,FALSE,0.0031768915376438,0.973436257170253,0.00506341672968246,0.971472242358401,6
