Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,
WorkFlow,0.0852981963498157,1,,,,,,,,
WorkFlow,0.0779944355782745,0.98044383194094,1,,,,,,,
WorkFlow,0.358507897886089,0.12497747955443,0.108624880848051,1,,,,,,
WorkFlow,0.176050982732914,0.0614286057922212,0.0396452215848606,0.578269371623446,1,,,,,
WorkFlow,0.214346229040857,-0.183330914250591,-0.178675535584596,0.395149031635593,0.680577290481453,1,,,,
WorkFlow,0.215693472315817,-0.0542726961958311,-0.0675703039768934,0.469528561145591,0.747869014852822,0.981737464929361,1,,,
WorkFlow,0.0961347730402792,-0.645530133016869,-0.682896704732289,-0.122998158079394,0.10938116698834,0.594106082903252,0.473191636068228,1,,
WorkFlow,0.18173388870524,0.067971551988824,0.0485544401876517,0.0873492944156358,0.356642884319443,0.666378713193175,0.621033606209756,0.614556966263109,1,
WorkFlow,-0.028917508786814,0.137552136455844,0.119900115089843,-0.161664824355895,-0.179049775373798,-0.118537100925057,-0.107268067114965,-0.0904313818565659,-0.0806143396998706,1
