Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,CMultStdev,0.510485848224243,,0.036777962768966,7.20450192633164,0.438187370877246,0.58278432557124,
WorkFlow,tvVmax,1386.68672348805,,1696.80205229386,122.363762741288,-1948.90327399877,4722.27672097487,
WorkFlow,tvKm,1481.03238543995,,3390.81476883685,228.949400578407,-5184.66430615266,8146.72907703256,
WorkFlow,tvV,14.1113531769172,,21.9493315610377,155.543775893453,-29.0368565435643,57.2595628973987,
WorkFlow,tvKa,1.32900078372108,,1.08990217452551,82.0091446051587,-0.813539524190342,3.4715410916325,
WorkFlow,K12,2.02593753994649,,15.5607335942268,768.07568285831,-28.5635040866075,32.6153791665005,
WorkFlow,K21,3.33408611338329,,14.8672963105857,445.918185823312,-25.8921897484483,32.5603619752148,
WorkFlow,K13,0.0915492674071207,,0.148777977231131,162.511379331429,-0.200919929001262,0.384018463815503,
WorkFlow,K31,0.0527808491966347,,0.0164775357955391,31.218777352657,0.0203891488751217,0.0851725495181477,
WorkFlow,CEps,0.512566806027032,,5.6401655357289,1100.3766668869,-10.5749255268081,11.6000591388622,
