
 WorkFlow
Start 2024-10-22 07:01:16  Run : 7.28333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm      tvV     tvKa     K12      K21
   66 6770.256 2.114470   0.493446 2816.57  613.032  7.25188 0.173819 1.44626 0.208145
   67 6768.179 2.289120   0.492319 2482.82  525.945  5.89352 0.150853 1.58294 0.186428
   68 6767.657 2.317520   0.492019 2438.91  514.545  5.48662 0.141491 1.60483 0.177090
   69 6766.207 2.464530   0.490240 2175.81  449.176  3.55571 0.101070 1.78838 0.134457
   70 6765.738 2.351100   0.491422 2329.09  488.518  4.30377 0.119252 1.73970 0.154582
   71 6765.533 2.284600   0.491724 2466.62  521.996  4.37513 0.119487 1.70247 0.153519
   72 6764.834 2.205290   0.491348 2598.28  553.177  4.26853 0.117736 1.74401 0.157177
   73 6764.138 2.141900   0.489871 2731.18  585.808  3.69543 0.108104 1.81985 0.147888
   74 6763.889 2.160810   0.490461 2737.17  586.690  3.66343 0.106324 1.80644 0.146650
   75 6763.869 2.133920   0.490324 2841.46  614.133  3.81172 0.108800 1.77883 0.151937
   76 6763.807 2.132600   0.489931 2906.60  629.024  3.78890 0.108289 1.77046 0.152391
   77 6763.769 2.121900   0.489810 3005.79  650.551  3.77819 0.107883 1.76135 0.153737
   78 6763.769 2.120590   0.489864 3023.56  653.875  3.78701 0.108011 1.75837 0.154140
   79 6763.768 2.118910   0.489900 3038.52  656.688  3.79205 0.108055 1.75608 0.154394
   80 6763.768 2.118770   0.489904 3039.79  656.921  3.79266 0.108062 1.75583 0.154415
   81 6763.768 2.118770   0.489904 3039.79  656.921  3.79266 0.108062 1.75583 0.154415
   82 6763.767 2.118730   0.489898 3039.80  656.911  3.79262 0.107867 1.75580 0.154413
   83 6763.767 2.118710   0.489899 3039.80  656.907  3.79256 0.107844 1.75577 0.154413
