Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,4.5726128,,,,,,,,,,,,,
WorkFlow,CMultStdev,0.0091196597,0.00079261386,,,,,,,,,,,,
WorkFlow,tvVmax,-60752.468,56.902119,1882755600,,,,,,,,,,,
WorkFlow,tvKm,-63652.597,12.886974,1530445300,1346089600,,,,,,,,,,
WorkFlow,tvV,0.63637047,0.12780395,70779.977,59553.636,158.61106,,,,,,,,,
WorkFlow,tvKa,-0.075830238,0.0013883815,3642.696,2663.3849,2.2583859,0.064372385,,,,,,,,
WorkFlow,K12,0.0022172009,-0.00059958176,-1531.249,-919.83799,-0.75709079,-0.021141065,0.0084433081,,,,,,,
WorkFlow,K21,0.051646373,-0.0017934258,-4027.2704,-2824.8628,-2.1177849,-0.056333276,0.022005866,0.060062745,,,,,,
WorkFlow,K13,-0.021274875,-0.00014383212,-220.73416,-3.6312905,-0.17525263,-0.0045161131,0.0019285611,0.0044656403,0.00062445526,,,,,
WorkFlow,K31,-0.004610646,-5.7003746e-05,-105.93234,-51.234893,-0.077455821,-0.0015561475,0.00060652053,0.0013928933,0.00020817447,0.00013242944,,,,
WorkFlow,stdev0,7.5659639,-0.04771825,-354258.13,-270676.15,-37.067497,-1.1751731,0.45764562,1.1652257,0.10187678,0.042286026,139.13495,,,
WorkFlow,nVmax-nVmax,0.87548024,0.0035550343,-11437.643,-9225.741,2.1785857,-0.028807334,0.010178166,0.018655464,-0.0017017023,-0.0019517146,2.0419919,0.59002255,,
WorkFlow,nV-nVmax,0.39619781,0.00047317401,4848.3833,-1054.2544,-0.50198338,0.03360055,-0.022177681,-0.035999003,-0.008864929,-0.0014958087,-1.7520932,-0.15203858,0.3066416,
WorkFlow,nV-nV,-0.045444721,0.0013305449,3436.5262,2215.1992,0.59625559,0.019528738,-0.0085651148,-0.020972007,-0.0019923968,-0.00048293017,-0.78422963,-0.031078385,0.042537207,0.02975758
