
 WorkFlow
Start 2024-10-22 09:28:56  Run : 19.4333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa       K12     K21       K13       K31
    1 7649.408 1.645710   1.119280 3974.82 4032.760 44.4512 1.194930 0.9540480 4.00325 0.1190010 0.0252166
    2 7011.960 1.652990   1.125820 3968.50 4041.660 43.9333 1.191200 0.7459760 4.16969 0.1227640 0.0252795
    3 6984.085 1.651870   1.118800 3969.20 4040.550 44.1587 1.189270 0.7747580 4.14749 0.1222250 0.0252355
    4 6979.129 1.651710   1.109760 3969.20 4040.530 44.3935 1.185830 0.7818590 4.14146 0.1220550 0.0252629
    5 6968.174 1.651810   1.081880 3968.75 4041.150 45.0955 1.174670 0.7884960 4.13451 0.1217940 0.0253846
    6 6933.722 1.652890   0.979347 3966.54 4044.290 47.7612 1.131880 0.7951350 4.12238 0.1211070 0.0258888
    7 6861.902 1.656320   0.755077 3960.54 4052.860 54.3707 1.030020 0.7874960 4.11160 0.1198260 0.0271578
    8 6829.048 1.662870   0.446584 3949.60 4068.570 66.2548 0.864088 0.7471020 4.11481 0.1180490 0.0294034
    9 6778.175 1.659560   0.623096 3955.36 4060.300 58.9626 0.960648 0.7515870 4.12719 0.1192660 0.0281288
   10 6765.671 1.660480   0.590972 3953.67 4062.700 60.1497 0.941647 0.7377980 4.13389 0.1190040 0.0284378
   11 6763.486 1.660960   0.568721 3952.33 4064.550 60.9273 0.927607 0.7296540 4.13687 0.1185450 0.0286999
   12 6762.775 1.660810   0.569391 3952.07 4064.860 60.8157 0.926896 0.7289930 4.13671 0.1182370 0.0287580
   13 6730.021 1.650270   0.578449 3932.75 4088.430 54.5058 0.857209 0.6892430 4.11642 0.0968105 0.0333664
   14 6723.446 1.644250   0.549043 3920.13 4103.960 52.1530 0.799011 0.6653210 4.10113 0.0847072 0.0366095
   15 6722.667 1.645130   0.536659 3921.36 4102.470 53.0797 0.799333 0.6662130 4.10245 0.0861623 0.0363285
   16 6722.402 1.644920   0.535869 3921.90 4101.670 53.1991 0.801870 0.6676410 4.10119 0.0864196 0.0362750
   17 6722.055 1.644190   0.533713 3923.05 4099.960 53.4294 0.807873 0.6694130 4.09806 0.0867999 0.0362269
   18 6721.719 1.642870   0.531701 3924.21 4098.100 53.5796 0.815343 0.6697980 4.09373 0.0868834 0.0362812
   19 6720.649 1.637290   0.525794 3928.32 4091.280 53.9552 0.844597 0.6684970 4.07697 0.0867253 0.0366289
   20 6719.100 1.626870   0.517601 3934.87 4080.050 54.3199 0.895534 0.6624370 4.04747 0.0856763 0.0374596
   21 6717.127 1.609690   0.509460 3945.18 4062.210 54.6268 0.980305 0.6496040 4.00069 0.0836062 0.0389131
   22 6716.325 1.595690   0.507065 3952.70 4048.930 54.5584 1.046160 0.6366480 3.96404 0.0813080 0.0402538
   23 6716.278 1.591020   0.507025 3954.37 4045.660 54.3974 1.061730 0.6307300 3.95253 0.0800025 0.0408390
   24 6716.210 1.589070   0.507424 3954.60 4044.920 54.3359 1.061960 0.6273290 3.94836 0.0792073 0.0411364
   25 6715.997 1.586870   0.508601 3954.71 4044.410 54.3999 1.053970 0.6233100 3.94433 0.0782451 0.0414603
   26 6715.564 1.581760   0.510195 3955.99 4041.780 54.7791 1.040900 0.6168940 3.93393 0.0766887 0.0420352
   27 6714.608 1.567410   0.513710 3962.84 4029.950 56.0805 1.037030 0.6050820 3.90158 0.0742340 0.0432046
   28 6712.670 1.525800   0.519003 3985.43 3991.850 59.6967 1.071530 0.5764240 3.80324 0.0685200 0.0464858
   29 6710.577 1.443150   0.526380 4035.85 3909.260 67.3856 1.199240 0.5269660 3.60390 0.0598117 0.0528794
   30 6710.315 1.374630   0.530116 4082.44 3835.300 74.4226 1.345130 0.4911400 3.43721 0.0544560 0.0580836
   31 6710.233 1.358760   0.530691 4094.48 3816.800 76.0082 1.390880 0.4843590 3.39867 0.0536366 0.0591819
   32 6710.023 1.328230   0.530843 4120.24 3778.330 78.8501 1.502220 0.4745040 3.32539 0.0529587 0.0609473
   33 6709.739 1.322790   0.530363 4126.69 3769.540 78.9377 1.538270 0.4752780 3.31403 0.0534185 0.0609667
   34 6709.294 1.322510   0.529964 4130.61 3765.280 78.5685 1.562720 0.4796510 3.31676 0.0547543 0.0603058
   35 6709.115 1.320130   0.528673 4134.02 3761.350 78.0637 1.573970 0.4805780 3.31601 0.0548586 0.0601943
   36 6709.007 1.314200   0.528081 4140.04 3753.720 78.0119 1.580720 0.4791280 3.30910 0.0546451 0.0602817
   37 6708.378 1.269360   0.524727 4185.14 3696.360 78.1878 1.630370 0.4670200 3.25300 0.0529669 0.0611133
   38 6707.657 1.198980   0.520072 4258.59 3604.640 78.6451 1.709840 0.4483200 3.16395 0.0505735 0.0623462
   39 6707.024 1.156750   0.516574 4306.70 3546.970 78.3610 1.751030 0.4393380 3.11807 0.0497183 0.0625043
   40 6705.409 1.050070   0.504170 4447.95 3389.300 74.5383 1.798620 0.4280570 3.04652 0.0503271 0.0596757
   41 6699.892 1.087250   0.503784 4421.29 3429.650 70.6292 1.661610 0.4519710 3.15534 0.0546556 0.0553242
   42 6692.974 1.070940   0.503275 4449.27 3403.720 70.4374 1.491890 0.4527350 3.18430 0.0554437 0.0528288
   43 6684.002 0.894870   0.492355 4721.60 3126.810 69.3137 1.075300 0.4437780 3.15157 0.0611500 0.0424991
   44 6678.849 0.915472   0.503352 4668.65 3165.180 75.9160 1.393420 0.4323860 3.04294 0.0592083 0.0482352
   45 6677.069 0.883106   0.500556 4721.40 3111.030 75.9886 1.379530 0.4294140 3.02063 0.0607187 0.0467308
   46 6674.300 0.844228   0.495604 4796.77 3038.140 74.8794 1.275100 0.4267420 3.02308 0.0639075 0.0432086
   47 6673.295 0.829736   0.494428 4831.81 3005.960 71.9107 1.285540 0.4293160 3.03265 0.0661031 0.0413446
   48 6672.955 0.834121   0.496287 4825.63 3010.840 71.7477 1.321910 0.4247230 3.02405 0.0653384 0.0420273
   49 6672.895 0.835427   0.496139 4826.95 3010.830 71.4424 1.313530 0.4265120 3.03042 0.0657283 0.0417196
   50 6672.839 0.835314   0.496141 4832.85 3006.910 71.2884 1.306680 0.4274160 3.03281 0.0660314 0.0414535
   51 6672.627 0.835988   0.496156 4862.30 2987.830 70.8754 1.286470 0.4293860 3.03645 0.0669006 0.0406210
   52 6672.244 0.839576   0.496139 4926.77 2947.330 70.4447 1.261420 0.4302400 3.03321 0.0678337 0.0395189
   53 6671.309 0.853757   0.495965 5103.15 2841.190 70.0048 1.226990 0.4272070 3.00662 0.0687832 0.0377162
   54 6669.209 0.897104   0.495449 5530.14 2603.770 70.1453 1.195070 0.4120460 2.91822 0.0684146 0.0353513
   55 6665.556 1.006960   0.494650 6414.80 2179.810 72.1606 1.197150 0.3722500 2.71579 0.0637202 0.0334571
   56 6660.818 1.125470   0.494998 7010.72 1948.680 75.3512 1.263250 0.3369660 2.56268 0.0560555 0.0354457
   57 6657.097 1.183830   0.490489 7224.84 1876.890 77.2817 1.376300 0.3087690 2.47044 0.0491063 0.0392497
   58 6656.644 1.208320   0.488045 7432.79 1797.860 78.0032 1.413010 0.2939230 2.41204 0.0467142 0.0399545
   59 6655.936 1.229570   0.485279 7547.39 1758.010 78.4676 1.476570 0.2761800 2.36203 0.0435871 0.0417672
   60 6655.748 1.246840   0.485853 7693.70 1705.050 78.9600 1.481820 0.2676540 2.32910 0.0427701 0.0416751
   61 6655.496 1.260410   0.486744 7862.70 1643.170 79.4110 1.464860 0.2581470 2.29687 0.0426328 0.0408761
   62 6655.469 1.259120   0.486089 7902.18 1627.240 79.2565 1.449250 0.2560180 2.29265 0.0429253 0.0403386
   63 6655.463 1.256820   0.485891 7901.88 1626.220 79.0635 1.441980 0.2561200 2.29504 0.0431568 0.0400998
   64 6655.462 1.256800   0.485774 7905.77 1624.370 79.0005 1.440390 0.2559900 2.29488 0.0431891 0.0400336
   65 6655.453 1.255860   0.485596 7903.69 1623.380 78.8469 1.437110 0.2562080 2.29633 0.0433028 0.0399083
   66 6655.425 1.253990   0.485260 7893.01 1621.310 78.5457 1.430900 0.2568360 2.29934 0.0435362 0.0396711
   67 6655.365 1.251110   0.484792 7863.86 1617.030 78.1165 1.421760 0.2579470 2.30355 0.0438984 0.0393320
   68 6655.238 1.249540   0.484104 7805.82 1602.060 77.5576 1.410190 0.2589800 2.30532 0.0443307 0.0388848
