Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,-0.0865366666881672,1,,,,,,,,,
WorkFlow,-0.0215796377373601,-0.0889383263598346,1,,,,,,,,
WorkFlow,0.16370274193674,0.0789993778135027,-0.92154423689285,1,,,,,,,
WorkFlow,-0.409525497099954,-0.00969123380466458,0.237430331767029,-0.191509971125429,1,,,,,,
WorkFlow,-0.103413142756378,-0.0795649707373668,-0.0964258581435131,0.178611990345828,0.286506073523586,1,,,,,
WorkFlow,0.552972855379838,-0.0395359002894672,-0.339439947841767,0.455423662729975,-0.549205964265905,-0.14939261221147,1,,,,
WorkFlow,-0.426188967010077,0.0379181172753191,0.457171652852034,-0.397022726461395,0.302140755751657,-0.0266993845269427,-0.579647220834354,1,,,
WorkFlow,0.342592745180946,-0.248920880273893,0.550056367885488,-0.495211440865897,-0.0463624082090515,-0.0364032758404184,0.348088781276524,-0.300855954899695,1,,
WorkFlow,0.117555178121306,0.0382243653608261,0.0561203149062569,0.0122761942312324,0.017688274543736,-0.0167108231223151,-0.0205591960082041,-0.266790796940124,0.0236785655766237,1,
WorkFlow,0.212886994049657,-0.00527419250025454,0.279162422669937,0.0193303925626242,-0.0586613580609177,0.111350224375766,0.248631455631094,0.353066186612486,0.168952331267583,0.164412848274918,1
