Scenario,ID,nVmax,nKm,nV,nKa,nVmax_shrinkage,nKm_shrinkage,nV_shrinkage,nKa_shrinkage
WorkFlow,1,0.283753064199514,-0.196637493533816,-0.888312159151382,0.242507406018817,0.244559,0.336733,0.228061,0.627049
WorkFlow,2,-0.38006073904651,0.0403764084641767,0.824873130971479,-0.131517099520696,0.813331,0.336739,0.387369,0.542844
WorkFlow,3,-0.0909552499673688,-0.36796577356863,-0.465752121555067,-0.504163981978908,0.119111,0.355263,0.199476,0.468294
WorkFlow,4,-0.290992511840779,-0.271153397449682,0.72645031393851,0.162650194133507,0.77212,0.328454,0.344254,0.587726
WorkFlow,5,-0.040021656303349,0.207252240128362,0.461668337366759,0.165908795398269,0.778047,0.338113,0.319005,0.5998
WorkFlow,6,0.212304853066876,-0.348079384392456,0.329718581761394,0.28141561960935,0.507011,0.340841,0.259601,0.589333
WorkFlow,7,0.0338283300906842,0.573343111073809,0.149473699204517,0.210028178894305,0.796453,0.344707,0.297646,0.600307
WorkFlow,8,-0.0498494670535225,0.126903854739278,0.00211512569455735,-0.456574461379306,0.636793,0.362472,0.320723,0.478888
WorkFlow,9,-0.204885412129293,0.128461470707153,0.585977121051233,0.205478341807691,0.795812,0.331864,0.340783,0.588922
WorkFlow,10,-0.32892186974642,-0.0592846513949847,0.514469167072904,-0.6014873425519,0.68171,0.354069,0.383276,0.457208
WorkFlow,11,-0.393405207155859,-0.399610680877621,0.274801609775957,-0.528050799378019,0.613649,0.331739,0.373526,0.468492
WorkFlow,12,0.128582773021441,-0.107989105095562,-0.131675678830618,0.0692774189735497,0.403516,0.351211,0.28617,0.535581
WorkFlow,13,0.543534821791735,-0.58627117155541,-0.168978835078135,-0.0208838689918426,0.137271,0.409532,0.162027,0.556868
WorkFlow,14,0.409577951395247,-0.132073009232023,-0.18105067374455,0.658606691793153,0.259857,0.341888,0.19375,0.655657
WorkFlow,15,0.498797176149169,-0.28038306797818,-0.808765274205809,-0.0428120112943506,0.134166,0.396949,0.151546,0.545969
WorkFlow,16,0.288201219301741,0.241299453381552,0.038898529318928,0.160895254091765,0.62279,0.354898,0.264399,0.566411
WorkFlow,17,0.0705968514994944,-0.291632306281388,-0.295531522051057,0.560291930414068,0.299539,0.315118,0.275405,0.641418
WorkFlow,18,-0.524428775525501,-0.178395544931671,0.136358412752994,-0.41136333114489,0.561336,0.331816,0.440017,0.486255
WorkFlow,19,0.109516479573369,0.195963819562598,0.240024989491619,-0.321283475693562,0.745387,0.365724,0.284299,0.502995
WorkFlow,20,0.210025397810663,-0.0172492084907513,-0.196615512274515,-0.125715776647186,0.422785,0.372518,0.258733,0.516059
WorkFlow,21,-0.226438345302299,0.072764414725838,0.602044513697673,-0.467133611391186,0.796705,0.377158,0.355325,0.478754
WorkFlow,22,-0.524323118695446,-0.218904227792265,-0.645443548904298,-1.01107304641331,0.271366,0.356857,0.461681,0.423267
WorkFlow,23,0.962233346132864,0.0414817464559567,-0.711182288373834,0.536623624304313,0.294963,0.412895,0.186831,0.663241
WorkFlow,24,0.0139360703938385,-0.00818365550077471,-0.184262374534081,-0.0532699234427192,0.295364,0.342833,0.259715,0.533396
WorkFlow,25,0.0687793522527879,0.223667982115067,0.336468113943225,0.748236962866618,0.770366,0.322166,0.290352,0.698378
WorkFlow,26,-0.0133694541682316,0.342289682134602,0.166291165547355,0.571195428217818,0.70373,0.331592,0.319861,0.682087
WorkFlow,27,-0.407954276881796,-0.163252109865515,0.305416873907511,-0.612995109511841,0.556535,0.354126,0.387429,0.454789
WorkFlow,28,0.26931049351405,0.0362826057640571,-0.238853272801543,0.219071391306707,0.303695,0.354984,0.231235,0.560246
WorkFlow,29,0.10668593200712,-0.0409988516712317,-0.643323098759043,-0.0255451988017096,0.26181,0.348344,0.247288,0.527673
WorkFlow,30,-0.153164107698587,0.0243130676947725,-0.176358192563297,0.267232840551425,0.456185,0.32665,0.327333,0.5917
WorkFlow,31,-0.0746498769795873,-0.233024633445673,0.325489384846104,0.429683297572824,0.640342,0.330839,0.31358,0.646959
WorkFlow,32,0.0866800313481233,0.3666406720031,-1.03918987627806,0.0999122496783797,0.186227,0.333383,0.214714,0.548877
WorkFlow,33,-0.049629995616202,-0.640606008688884,0.0901805813739301,-0.40502002838211,0.30084,0.365156,0.28503,0.488012
WorkFlow,34,-0.110355506946108,-0.440462044873172,0.260298548496667,-0.0694090610065982,0.41839,0.331425,0.330819,0.542373
WorkFlow,35,-0.316845741878313,-0.0967745658124959,-0.322116880430145,-0.410606178515766,0.286011,0.332886,0.338688,0.489865
WorkFlow,36,-0.191771101005034,0.0570103490241669,0.673211653451479,-0.520014192570724,0.775353,0.352991,0.327928,0.469653
WorkFlow,37,-0.224841440743981,0.22070273091878,0.094527425399631,-0.833792726019046,0.645243,0.362136,0.327437,0.456218
WorkFlow,38,-0.163266797785073,-0.0681106713972733,-0.468851618640397,-0.45346822273799,0.251651,0.349984,0.28704,0.473558
WorkFlow,39,0.289432291740786,0.322948395509816,-0.175861574809844,0.591782713104044,0.634696,0.339122,0.269925,0.658014
WorkFlow,40,-0.518220073253683,-0.0374103927346708,-0.844368237736565,-0.531930327237473,0.256573,0.316127,0.379102,0.457422
WorkFlow,41,0.238462594276561,-0.191704863454,-0.224289101897601,0.177218306796531,0.2982,0.352013,0.245972,0.595651
WorkFlow,42,-0.398209009271323,-0.0618922991077577,0.362507297956616,-0.194349505228538,0.612897,0.333039,0.424427,0.492087
