Scenario,Label,nVmax,nKm,nV,nKa
WorkFlow,nVmax,0.070750875421938,0,0,0
WorkFlow,nKm,0,0.0384605053622272,0,0
WorkFlow,nV,0,0,0.12096324663235,0
WorkFlow,nKa,0,0,0,0.249349491939395
