
 WorkFlow
Start 2024-10-22 11:42:57  Run : 15.8666666666667 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa         K12        K21       dVdWT
    1 7441.041 1.51399   0.942368 4104.86 3859.470 51.6946 1.199220 2.026860000 2.96015000 1.102200000
    2 7353.291 1.41960   0.890980 4226.11 3703.740 52.8237 1.198620 2.044250000 2.93189000 1.103470000
    3 7237.821 1.31834   0.848696 4363.31 3540.360 53.2591 1.196580 2.050480000 2.92282000 1.105010000
    4 7119.788 1.21484   0.812004 4506.72 3388.210 53.2179 1.192780 2.049030000 2.92712000 1.105710000
    5 7083.829 1.18798   0.765679 4561.35 3413.990 50.7290 1.191480 2.022810000 2.94732000 1.093740000
    6 7079.956 1.11961   0.328943 5922.77 3843.190 47.5630 1.051270 2.072160000 2.72315000 0.995309000
    7 7050.874 1.08170   0.334021 6295.64 3854.690 46.9752 1.025490 2.078730000 2.68897000 0.979005000
    8 7015.930 1.25282   0.329678 7804.83 3304.620 42.6099 1.081500 2.033620000 2.65198000 0.940150000
    9 7009.494 1.30553   0.329437 7820.30 3040.680 41.8258 0.925845 2.009850000 2.68250000 0.926093000
   10 7004.367 1.32755   0.331525 7529.59 2734.990 41.5456 0.899996 2.041510000 2.53187000 0.918221000
   11 6971.374 1.44193   0.329247 6459.97 1829.730 40.9895 0.743448 1.926490000 2.01632000 0.990066000
   12 6958.605 1.48208   0.349852 5827.66 1772.490 51.0200 0.828992 1.297310000 2.29229000 0.922342000
   13 6947.223 1.48143   0.355617 5489.37 1562.360 60.2413 0.933673 0.878302000 2.62583000 0.953814000
   14 6933.120 1.47089   0.361381 5520.42 1604.540 62.8660 0.914307 0.547654000 2.23811000 0.947530000
   15 6922.683 1.46220   0.366319 5525.66 1632.910 65.9452 0.900996 0.285073000 1.87971000 0.940008000
   16 6912.437 1.39071   0.432342 4745.11 1614.590 89.8693 1.379630 0.001353080 1.16845000 0.000209591
   17 6896.551 1.41412   0.443305 4846.75 1609.490 80.6817 1.343610 0.013875100 0.99946500 0.124003000
   18 6889.050 1.43017   0.447734 4885.39 1596.280 76.8593 1.323910 0.020605500 0.92549500 0.324493000
   19 6882.328 1.44678   0.451829 4916.77 1579.860 73.3893 1.305610 0.027730100 0.86059700 0.621231000
   20 6873.929 1.46820   0.463656 4840.15 1494.210 69.3805 1.325720 0.045877500 0.78320400 0.882011000
   21 6861.158 1.50353   0.489482 4750.68 1349.980 64.8969 1.368790 0.054575000 0.56718000 1.142990000
   22 6852.198 1.50742   0.499200 4739.66 1289.520 66.1385 1.360760 0.020845000 0.42297500 1.093350000
   23 6843.387 1.51065   0.511325 4793.70 1274.750 69.7209 1.379140 0.005647850 0.34191000 1.261340000
   24 6840.348 1.47048   0.529919 5032.30 1403.900 71.5671 1.414110 0.001595730 0.20913800 0.824106000
   25 6838.005 1.49017   0.532841 4801.65 1266.480 72.0769 1.416730 0.000105260 0.16337400 0.937289000
   26 6835.888 1.52289   0.529799 4204.51 1058.860 71.8819 1.412180 0.000130571 0.12808300 1.318870000
   27 6835.048 1.51858   0.531439 4175.64 1093.340 71.7010 1.387080 0.001227240 0.08799620 1.276450000
   28 6832.822 1.52559   0.535661 3753.05 1033.110 69.1210 1.290080 0.000103640 0.02784300 0.999343000
   29 6829.794 1.58322   0.533293 3469.93  885.047 69.2655 1.247690 0.000226371 0.02011040 1.084160000
   30 6828.582 1.60081   0.531821 3360.77  842.740 69.3158 1.228560 0.000560587 0.01591110 1.109930000
