
 WorkFlow
Start 2024-09-22 14:06:37  Run : 9.56666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV    tvKa     K12     K21
    1 6527.903   0.427548 6276.91 2414.410 52.3624 1.01929 2.04352 3.13360
    2 6513.208   0.672961 6314.06 2293.890 49.0153 1.04576 1.81310 3.32958
    3 6493.701   0.588347 6533.21 2062.450 48.6278 1.03898 1.77925 3.38440
    4 6489.605   0.505780 6577.22 1903.810 48.8815 1.07858 1.74832 3.40783
    5 6487.446   0.530018 6467.41 1910.280 48.6575 1.08360 1.74812 3.40707
    6 6485.239   0.555315 6013.30 1897.170 47.4092 1.08151 1.75431 3.30630
    7 6480.884   0.555976 5614.24 1733.930 46.8092 1.10463 1.74494 3.25838
    8 6463.553   0.538131 3684.83  984.637 46.2762 1.21357 1.85229 2.94124
    9 6462.361   0.529625 3675.45  884.326 47.5352 1.19761 1.90709 2.90845
   10 6461.764   0.530199 3642.99  928.109 48.1860 1.18298 1.91968 2.90370
   11 6461.121   0.530028 3638.06  960.879 48.0429 1.16113 1.82502 2.93604
   12 6460.559   0.530837 4060.97 1122.220 48.3733 1.10650 1.65375 3.08272
   13 6460.552   0.530845 4077.89 1128.020 48.3769 1.10523 1.65029 3.08636
   14 6459.261   0.528277 4074.79 1076.420 49.0659 1.11881 1.64478 3.04868
   15 6459.204   0.528686 4052.49 1056.190 48.9438 1.12851 1.66704 3.02252
   16 6459.162   0.529529 4002.18 1042.330 48.4097 1.15068 1.71969 2.90194
   17 6459.078   0.530453 4017.40 1058.140 48.5422 1.14884 1.70530 2.92633
   18 6459.042   0.531829 4044.81 1082.180 48.8453 1.14285 1.68075 2.99138
   19 6459.031   0.529875 4035.82 1060.420 48.6777 1.15437 1.68540 2.92470
   20 6458.931   0.530699 4073.42 1080.940 49.0069 1.15500 1.64838 2.97056
   21 6458.864   0.531540 4109.41 1093.270 49.4670 1.15998 1.61014 2.98476
   22 6458.776   0.532390 4210.60 1130.450 50.8991 1.17091 1.50372 3.03539
   23 6458.752   0.532026 4204.04 1127.390 51.0261 1.17228 1.50713 3.02960
   24 6458.692   0.530873 4203.06 1121.280 51.3925 1.17903 1.49664 3.02798
   25 6458.643   0.530370 4152.71 1096.910 51.4160 1.18414 1.52691 3.02414
   26 6458.561   0.531117 4169.13 1105.880 52.1104 1.18950 1.49644 3.07089
   27 6458.378   0.532634 4217.21 1131.490 53.9725 1.20015 1.40272 3.24062
   28 6458.295   0.532100 4224.66 1133.590 54.3581 1.21102 1.37393 3.31243
   29 6458.241   0.530019 4247.36 1142.060 55.9383 1.24449 1.27781 3.55557
   30 6458.203   0.530264 4239.51 1139.540 55.2582 1.23326 1.30659 3.49587
   31 6458.185   0.530281 4217.63 1130.020 54.7608 1.22668 1.33561 3.46483
   32 6458.158   0.530132 4192.81 1120.130 54.7004 1.22626 1.35049 3.48139
   33 6458.079   0.529680 4104.73 1086.830 54.8999 1.23664 1.38991 3.58800
   34 6458.036   0.529658 4007.65 1053.400 54.9402 1.24701 1.44930 3.66689
   35 6458.035   0.529809 3966.00 1039.950 55.2378 1.25629 1.46878 3.72960
   36 6458.030   0.529913 3956.94 1038.330 55.8036 1.26638 1.45596 3.80081
   37 6458.017   0.530015 4003.43 1055.070 55.8266 1.26440 1.42447 3.77261
   38 6458.013   0.530094 4015.84 1058.810 55.7835 1.26262 1.41788 3.75521
   39 6458.007   0.529977 4036.36 1065.060 55.8305 1.26008 1.40329 3.73594
   40 6457.999   0.529948 4024.41 1059.080 55.8470 1.26009 1.40962 3.74053
   41 6457.996   0.530026 4023.47 1059.320 55.8699 1.26122 1.40952 3.74414
   42 6457.989   0.530461 4018.66 1061.230 56.0522 1.26895 1.40657 3.77095
   43 6457.987   0.530607 4019.46 1060.000 56.0431 1.26772 1.40667 3.75994
   44 6457.987   0.530611 4019.51 1060.000 56.0428 1.26768 1.40666 3.75970
   45 6457.978   0.530141 4016.51 1060.610 56.1821 1.26535 1.40661 3.75217
   46 6457.978   0.530141 4016.51 1060.610 56.1821 1.26535 1.40661 3.75217
   47 6457.978   0.530141 4016.51 1060.610 56.1821 1.26535 1.40661 3.75217
