
 WorkFlow
Start 2024-09-22 17:14:47  Run : 16 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV    tvKa    dVdWT
    1 6366.550   0.507216 6299.96 2258.13 36.3852 1.05093 1.027440
    2 6359.133   0.501876 6339.16 2252.46 38.2368 1.03905 1.038400
    3 6354.305   0.560800 6328.77 2263.48 39.9412 1.06597 1.050290
    4 6348.800   0.552212 6419.59 2164.03 40.8797 1.11160 1.044270
    5 6332.885   0.529970 6785.33 1630.39 45.0578 1.31913 0.940798
    6 6315.789   0.536401 6394.56 1793.80 44.8408 1.35627 0.982544
    7 6308.704   0.539375 6235.45 1816.30 44.8498 1.37089 0.988716
    8 6300.298   0.545593 6001.73 1842.99 44.0857 1.34046 0.991994
    9 6294.577   0.555748 5640.63 1821.00 41.7692 1.21212 1.021000
   10 6293.590   0.556508 5641.94 1826.01 41.3257 1.17641 1.007820
   11 6293.045   0.551169 5695.41 1776.96 41.8248 1.18286 0.986755
   12 6292.757   0.546823 5612.05 1771.03 41.7959 1.16756 0.976052
   13 6292.470   0.544569 5495.24 1735.91 41.7371 1.15248 1.002490
   14 6292.024   0.544689 5347.26 1678.48 41.9600 1.15816 1.001560
   15 6291.253   0.547981 4988.54 1515.50 42.8305 1.20297 0.995192
   16 6291.107   0.549903 5023.35 1520.55 42.9472 1.21720 0.984406
   17 6290.998   0.551458 5064.94 1530.60 43.0023 1.23109 0.976411
   18 6290.921   0.551947 5120.60 1550.27 42.9483 1.23390 0.975152
   19 6290.828   0.551686 5188.93 1579.66 42.7897 1.22716 0.975477
   20 6290.759   0.550960 5273.68 1620.63 42.5388 1.20982 0.984354
   21 6290.752   0.550484 5260.41 1618.07 42.5037 1.20402 0.983718
   22 6290.751   0.550740 5276.32 1625.09 42.4884 1.20208 0.986607
