
 WorkFlow
Start 2024-10-19 12:24:34  Run : 41 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa   dVdWT
    1 6402.043   0.710646 7061.04 2058.93 41.2164 1.087530 1.10191
    2 6359.895   0.571202 7105.41 1951.24 43.6144 0.984973 1.11047
    3 6351.813   0.514784 6835.25 2006.41 43.1775 0.902449 1.11951
    4 6346.096   0.508977 6505.53 2053.92 41.2220 0.838549 1.12989
    5 6343.381   0.515732 6213.05 2032.95 38.9565 0.796382 1.14385
    6 6342.587   0.517449 6132.92 1992.18 38.6790 0.799777 1.15259
    7 6338.107   0.517193 5556.51 1709.23 38.1622 0.827822 1.21804
    8 6335.082   0.514662 4789.23 1359.81 38.9680 0.881260 1.31782
    9 6333.398   0.518296 4712.44 1333.91 40.5165 0.921435 1.33519
   10 6332.465   0.513445 4762.54 1334.93 42.5567 0.946534 1.34361
   11 6332.363   0.511213 4680.03 1317.18 42.7362 0.941784 1.35530
   12 6332.306   0.511210 4646.98 1301.79 42.8800 0.938484 1.36326
   13 6332.168   0.511104 4632.74 1296.81 42.8523 0.925098 1.37176
   14 6331.988   0.512097 4650.72 1302.42 42.9410 0.912877 1.38564
   15 6331.746   0.514696 4783.35 1356.44 42.7468 0.900167 1.38945
   16 6331.587   0.513183 4788.85 1354.58 42.4387 0.911464 1.39476
   17 6331.534   0.510299 4779.85 1355.62 42.1255 0.921464 1.39551
   18 6331.528   0.509998 4781.96 1356.07 42.1407 0.922723 1.39537
   19 6331.517   0.508464 4795.11 1359.99 42.1629 0.927091 1.39360
   20 6331.505   0.509442 4796.91 1359.91 42.2709 0.928198 1.39276
   21 6331.496   0.510996 4769.46 1348.62 42.4076 0.929409 1.39489
   22 6331.493   0.511152 4753.50 1341.38 42.4433 0.929668 1.39495
   23 6331.492   0.511055 4743.91 1336.73 42.4606 0.930163 1.39529
   24 6331.490   0.510658 4743.45 1336.41 42.4270 0.929865 1.39409
   25 6331.490   0.510291 4747.17 1338.89 42.3606 0.928710 1.39424
   26 6331.488   0.510159 4754.94 1342.97 42.3073 0.926937 1.39419
   27 6331.484   0.510552 4763.60 1346.69 42.2940 0.926437 1.39305
   28 6331.481   0.510941 4778.42 1352.67 42.2771 0.925606 1.39020
   29 6331.480   0.510975 4781.91 1354.01 42.2782 0.925606 1.38827
   30 6331.478   0.510901 4786.99 1356.08 42.2780 0.925258 1.38308
   31 6331.476   0.510793 4786.31 1355.80 42.2829 0.925197 1.37783
   32 6331.473   0.510680 4781.24 1353.80 42.2929 0.925160 1.37125
