
 WorkFlow
Start 2024-09-21 22:04:35  Run : 1 nSubj: 60 nObs : 480
 Iter      -2LL   GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12     K21       K13        K31
   52  6815.031 1.56280   0.732361 4045.51 3932.44 52.5337 1.12330 0.540088 2.91111 0.0762872 0.04726180
   53  6808.009 1.47532   0.407969 4154.22 3784.79 61.0320 1.10090 0.532135 2.62829 0.0900552 0.04487860
   54  6768.763 1.52445   0.590874 4092.26 3867.44 55.9700 1.11407 0.520287 2.79586 0.0769365 0.04840910
   55  6761.796 1.50798   0.540545 4112.48 3839.74 57.3244 1.11113 0.507880 2.75002 0.0750027 0.04827480
   56  6761.357 1.50024   0.523455 4122.25 3826.78 57.8317 1.11093 0.498850 2.73157 0.0727580 0.04698420
   57  6761.357 1.50020   0.523388 4122.31 3826.70 57.8340 1.11094 0.498777 2.73147 0.0727377 0.04696920
   58  6761.355 1.50017   0.523389 4122.34 3826.66 57.8343 1.11095 0.498686 2.73143 0.0728561 0.04695430
   59  6761.344 1.50009   0.523389 4122.44 3826.54 57.8354 1.11098 0.498826 2.73120 0.0726754 0.04689050
   60  6761.321 1.50011   0.523390 4122.41 3826.58 57.8348 1.11097 0.498858 2.73121 0.0729199 0.04691350
   61  6761.309 1.50007   0.523392 4122.47 3826.51 57.8351 1.11099 0.499114 2.73096 0.0732257 0.04689150
   62  6761.284 1.49993   0.523398 4122.66 3826.28 57.8366 1.11106 0.499768 2.73029 0.0737210 0.04680100
   63  6761.249 1.49926   0.523425 4123.56 3825.22 57.8444 1.11139 0.502517 2.72740 0.0753802 0.04637490
   64  6761.100 1.49828   0.523463 4124.89 3823.64 57.8561 1.11187 0.506309 2.72332 0.0772808 0.04575310
   65  6760.643 1.49578   0.523560 4128.26 3819.63 57.8865 1.11308 0.515686 2.71312 0.0815151 0.04421680
   66  6760.227 1.49370   0.523644 4131.05 3816.29 57.9118 1.11406 0.523136 2.70488 0.0844659 0.04306160
   67  6759.838 1.49310   0.523674 4131.86 3815.33 57.9187 1.11431 0.524875 2.70269 0.0847405 0.04291670
   68  6759.493 1.49309   0.523686 4131.86 3815.32 57.9179 1.11425 0.524261 2.70293 0.0840113 0.04327760
   69  6759.342 1.49298   0.523703 4132.00 3815.15 57.9179 1.11425 0.524127 2.70270 0.0837741 0.04361480
   70  6758.861 1.49188   0.523817 4133.42 3813.47 57.9237 1.11445 0.525468 2.69930 0.0838061 0.04515560
   71  6758.253 1.48899   0.524077 4137.18 3809.01 57.9424 1.11516 0.530709 2.68967 0.0854215 0.04806470
   72  6757.425 1.48200   0.524675 4146.34 3798.18 57.9907 1.11704 0.545052 2.66571 0.0909833 0.05426710
   73  6756.452 1.47090   0.525604 4160.92 3781.00 58.0685 1.12011 0.569223 2.62729 0.1018940 0.06399680
   74  6754.741 1.45437   0.526991 4182.63 3755.58 58.1803 1.12460 0.605758 2.57033 0.1213330 0.08014540
   75  6754.689 1.44284   0.527949 4197.80 3737.89 58.2571 1.12772 0.631670 2.53063 0.1366030 0.09223160
   76  6754.689 1.44272   0.527959 4197.94 3737.72 58.2577 1.12775 0.631878 2.53023 0.1367970 0.09236370
   77  6754.635 1.44251   0.527955 4198.18 3737.45 58.2565 1.12768 0.628890 2.53026 0.1356420 0.09218670
   78  6754.604 1.44249   0.527957 4198.22 3737.42 58.2564 1.12767 0.628744 2.52936 0.1351340 0.09199260
   79  6754.541 1.44242   0.527956 4198.30 3737.32 58.2560 1.12765 0.627387 2.52930 0.1348510 0.09188110
   80  6754.534 1.44241   0.527955 4198.32 3737.30 58.2559 1.12765 0.627107 2.52947 0.1347710 0.09184480
   81  6754.511 1.44239   0.527955 4198.32 3737.27 58.2557 1.12764 0.626994 2.52903 0.1345280 0.09174660
   82  6754.503 1.44239   0.527955 4198.32 3737.27 58.2557 1.12764 0.626956 2.52901 0.1345700 0.09174260
   83  6754.503 1.44239   0.527955 4198.32 3737.27 58.2557 1.12764 0.626956 2.52901 0.1345700 0.09174260
