Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,0.969997480923361,,,,,,,,,,
WorkFlow,0.00823112661091406,0.00163939823149428,,,,,,,,,
WorkFlow,-2198.63379566123,-25.579908234221,35452413.8048545,,,,,,,,
WorkFlow,-4770.86181829586,-29.7801233526277,25545823.6074999,34481295.7122894,,,,,,,
WorkFlow,3.58849618737095,0.332910211176209,-53218.7473565646,-42042.631857363,345.979156752164,,,,,,
WorkFlow,-0.0220891449650679,0.00174895041783338,-681.109960617106,-280.02210815694,4.95178688681796,0.12145022135248,,,,,
WorkFlow,0.0207316130854426,-0.000934349217181955,-830.075882316644,-515.006023414306,1.1453290790062,0.0194986287075586,0.0362853368690816,,,,
WorkFlow,0.0736271588962252,-0.00087496980220534,-8313.44099324398,-4917.50623418101,26.9582247116891,0.548146890643764,0.336666639312099,4.53423587053066,,,
WorkFlow,0.000908306359587824,-0.000469328433705685,108.944380105833,61.5935967612491,-1.03976136158262,-0.0223693788761939,-0.00256182776228842,-0.104160685873257,0.00480009378781199,,
WorkFlow,0.0081278730633216,-0.000116444032961223,24.5647065134759,-24.8854111745193,-0.246652660476531,-0.00587297731183892,-0.00123376994909511,-0.03308607891415,0.0013121594440044,0.000593996400782235,
WorkFlow,-0.113144183088226,-0.0113735873545833,-1632.97275907314,-2410.42808685007,5.62659214120899,0.114137884498792,0.00947771317957297,0.718474082807245,-0.0338534106117145,-0.0033574239286659,2.88880465566335
