
 WorkFlow
Start 2024-10-19 13:48:03  Run : 24.2333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa         K12     K21    dVdWT
   64 6451.786   0.521153 4189.73 1091.930 58.0905 1.295890 1.402850000 4.71078 0.789064
   65 6451.742   0.520205 4224.70 1106.390 58.3141 1.302030 1.367300000 4.76247 0.771079
   66 6451.703   0.520966 4237.89 1113.200 58.2948 1.304690 1.358270000 4.75389 0.754955
   67 6451.631   0.524096 4279.54 1140.430 59.2329 1.326850 1.229830000 4.77131 0.691252
   68 6451.475   0.523401 4242.23 1122.970 59.3188 1.325310 1.243040000 4.77310 0.722525
   69 6451.262   0.521196 4159.01 1079.030 59.3540 1.315200 1.275720000 4.73579 0.797110
   70 6451.103   0.521966 4166.32 1084.780 59.9952 1.323180 1.210830000 4.75294 0.781030
   71 6450.992   0.522522 4143.29 1076.930 61.1997 1.330670 1.108110000 4.76823 0.781414
   72 6450.960   0.521349 4186.11 1090.920 60.9112 1.324580 1.114760000 4.74406 0.759323
   73 6450.946   0.520552 4255.04 1116.360 60.3873 1.314230 1.133370000 4.69540 0.727786
   74 6450.940   0.520519 4254.88 1117.620 60.4301 1.314470 1.128860000 4.69282 0.735068
   75 6450.907   0.520803 4271.91 1126.000 60.6866 1.310570 1.103090000 4.66712 0.735385
   76 6450.890   0.521143 4306.07 1139.250 61.0840 1.306450 1.061300000 4.61073 0.743373
   77 6450.847   0.521494 4287.96 1131.630 61.4203 1.311670 1.035990000 4.61656 0.748532
   78 6450.714   0.524379 4095.38 1050.550 63.0551 1.358320 0.932594000 4.65737 0.812502
   79 6450.492   0.522152 4188.09 1089.690 62.5520 1.343390 0.924473000 4.57574 0.795295
   80 6450.174   0.518841 4308.77 1139.290 62.8342 1.335420 0.817801000 4.39032 0.790270
   81 6449.756   0.515182 4495.39 1209.450 64.6631 1.336500 0.573850000 4.05760 0.810532
   82 6449.258   0.513565 4597.70 1242.200 67.4976 1.355220 0.352305000 3.79590 0.827941
   83 6448.776   0.513564 4759.24 1283.560 74.7306 1.410130 0.051792900 3.32619 0.839411
   84 6448.476   0.516268 4653.44 1244.980 71.8689 1.394960 0.129410000 3.50365 0.804251
   85 6448.400   0.517939 4651.29 1241.910 72.6397 1.398530 0.097697800 3.43790 0.787128
   86 6448.355   0.519953 4661.15 1243.220 73.6124 1.400030 0.059565700 3.32540 0.759114
   87 6448.340   0.520193 4659.94 1242.590 73.5757 1.398660 0.056584500 3.31077 0.749194
   88 6448.334   0.521049 4675.75 1246.040 74.2099 1.397260 0.021590200 3.17174 0.680769
   89 6448.275   0.519872 4685.87 1249.580 73.9187 1.399250 0.029915000 3.20680 0.712025
   90 6448.217   0.518603 4690.97 1251.080 73.7599 1.403230 0.032152300 3.21920 0.746355
   91 6448.121   0.516816 4730.14 1263.930 73.8774 1.412350 0.019427500 3.15697 0.804294
   92 6447.999   0.515376 4819.17 1293.330 74.4475 1.425230 0.000860226 2.97706 0.852866
   93 6447.828   0.515457 4902.05 1322.360 74.1918 1.427580 0.002318800 2.85528 0.872825
   94 6447.636   0.517243 5032.88 1370.160 73.4631 1.413690 0.014710800 2.71110 0.853333
   95 6447.589   0.518414 5129.09 1404.700 73.5349 1.401020 0.033891600 2.57516 0.833705
   96 6447.571   0.520210 5195.34 1430.530 72.7256 1.371870 0.026998300 2.53368 0.804237
   97 6447.532   0.518788 5169.70 1419.490 73.0555 1.384350 0.027745900 2.54245 0.823116
   98 6447.526   0.518234 5173.08 1419.830 73.1258 1.385920 0.027675100 2.52862 0.827297
   99 6447.520   0.517684 5193.38 1425.670 73.1807 1.386670 0.028342800 2.49079 0.828230
  100 6447.519   0.517357 5190.41 1423.590 73.2934 1.389080 0.022967900 2.48336 0.824387
  101 6447.515   0.517615 5166.65 1415.280 73.4347 1.391860 0.018887500 2.50791 0.818725
  102 6447.509   0.518311 5139.64 1405.980 73.7613 1.397280 0.012085300 2.53103 0.808637
  103 6447.506   0.518751 5106.49 1394.650 74.1387 1.404760 0.006487580 2.56599 0.805669
  104 6447.506   0.518751 5106.49 1394.650 74.1387 1.404760 0.006487580 2.56599 0.805669
  105 6447.505   0.518598 5106.53 1394.340 74.1203 1.404870 0.006487650 2.56593 0.805715
  106 6447.504   0.518512 5106.50 1394.160 74.1097 1.404930 0.006487690 2.56589 0.805739
  107 6447.504   0.518512 5106.50 1394.160 74.1097 1.404930 0.006487690 2.56589 0.805739
