[15:28:43] Model run priority is below_normal
[15:28:43] Using darwin.MemoryModelCache
[15:28:43] Writing intermediate output to d:/git/adpoBenchmark/data/pydarwin_makedata/output\results.csv
[15:28:43] Models will be saved in d:/git/adpoBenchmark/data/pydarwin_makedata/working\models.json
[15:28:43] Template file found at template.txt
[15:28:43] Tokens file found at tokens.json
[15:28:43] Algorithm: EX
[15:28:43] Engine: NONMEM
[15:28:43] random_seed: 11
[15:28:43] Project dir: d:\git\ADPOBenchmark\data\pyDarwin_makedata
[15:28:43] Data dir: d:\git\ADPOBenchmark\data\pyDarwin_makedata
[15:28:43] Project working dir: d:/git/adpoBenchmark/data/pydarwin_makedata/working
[15:28:43] Project temp dir: d:/git/adpoBenchmark/data/pydarwin_makedata/run
[15:28:43] Project output dir: d:/git/adpoBenchmark/data/pydarwin_makedata/output
[15:28:43] Key models dir: d:/git/adpoBenchmark/data/pydarwin_makedata/working\key_models
[15:28:43] Search space size: 72
[15:28:43] NMFE found: c:/nm74g64/util/nmfe74.bat
[15:28:43] Search start time: Sun Sep  8 15:28:43 2024
[15:28:43] Not using Post Run R code
[15:28:43] Not using Post Run Python code
[15:28:43] Checking files in d:\git\adpoBenchmark\data\pydarwin_makedata\run\0\03
[15:28:43] Data set # 1 was found: ..\..\..\data_sim.csv
[15:31:49] Iteration =     0, Model    18,           Done,    fitness =  99999999,    message = No important warnings
[15:32:02] Iteration =     0, Model    19,           Done,    fitness =  99999999,    message = No important warnings
[15:32:12] Iteration =     0, Model    20,           Done,    fitness =  99999999,    message = No important warnings
[15:32:19] Iteration =     0, Model    21,           Done,    fitness =  99999999,    message = No important warnings
[15:32:38] Iteration =     0, Model    22,           Done,    fitness =  99999999,    message = No important warnings
[15:32:40] Iteration =     0, Model    23,           Done,    fitness =  99999999,    message = No important warnings
[15:32:50] Iteration =     0, Model    24,           Done,    fitness =  99999999,    message = No important warnings
[15:32:51] Iteration =     0, Model    25,           Done,    fitness =  99999999,    message = No important warnings
[15:33:14] Iteration =     0, Model    26,           Done,    fitness =  99999999,    message = No important warnings
[15:33:27] Iteration =     0, Model    27,           Done,    fitness =  99999999,    message = No important warnings
[15:33:28] Iteration =     0, Model    29,           Done,    fitness =  99999999,    message = No important warnings
[15:33:29] Iteration =     0, Model    28,           Done,    fitness =  99999999,    message = No important warnings
[15:33:54] Iteration =     0, Model    30,           Done,    fitness =  99999999,    message = No important warnings
[15:34:04] Iteration =     0, Model    31,           Done,    fitness =  99999999,    message = No important warnings
[15:34:07] Iteration =     0, Model    33,           Done,    fitness =  99999999,    message = No important warnings
[15:34:07] Iteration =     0, Model    32,           Done,    fitness =  99999999,    message = No important warnings
[15:34:36] Iteration =     0, Model    34,           Done,    fitness =  99999999,    message = No important warnings
[15:34:44] Iteration =     0, Model    35,           Done,    fitness =  99999999,    message = No important warnings
[15:34:46] Iteration =     0, Model    36,           Done,    fitness =  99999999,    message = No important warnings
[15:34:47] Iteration =     0, Model    37,           Done,    fitness =  99999999,    message = No important warnings
[15:35:04] Iteration =     0, Model    38,           Done,    fitness =  99999999,    message = No important warnings
[15:35:15] Iteration =     0, Model    39,           Done,    fitness =  99999999,    message = No important warnings
[15:35:23] Iteration =     0, Model    40,           Done,    fitness =  99999999,    message = No important warnings
[15:35:31] Iteration =     0, Model    41,           Done,    fitness =  99999999,    message = No important warnings
[15:35:42] Iteration =     0, Model    42,           Done,    fitness =  99999999,    message = No important warnings
