
 WorkFlow
Start 2024-10-22 13:42:00  Run : 39.9666666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm      tvV     tvKa      K12      K21       K13       K31    dVdWT
   48 6697.321 0.978392   0.511318 5609.07 2435.680  70.5751 1.597120 0.473049 3.273780 0.0734268 0.0572379 0.860665
   49 6695.923 0.993382   0.516704 5838.14 2286.030  71.2863 1.516580 0.458622 3.233800 0.0715941 0.0552372 0.863408
   50 6693.958 1.035960   0.520297 6164.15 2093.800  71.1725 1.366440 0.441655 3.196780 0.0691015 0.0513246 0.873808
   51 6692.224 1.085210   0.519473 6335.17 2007.080  69.9007 1.245700 0.436851 3.199580 0.0681715 0.0478444 0.887559
   52 6691.159 1.115640   0.512577 6306.37 2035.670  67.7045 1.202380 0.443411 3.236000 0.0686668 0.0461741 0.898328
   53 6691.018 1.118600   0.509434 6275.36 2055.700  67.2693 1.205150 0.446445 3.245990 0.0688998 0.0461517 0.899629
   54 6690.932 1.120660   0.508401 6249.20 2071.300  67.3132 1.209810 0.448177 3.248810 0.0688345 0.0464056 0.899144
   55 6690.864 1.124140   0.508094 6234.57 2079.950  67.4284 1.211780 0.448727 3.247640 0.0684315 0.0467201 0.898111
   56 6690.806 1.127730   0.509124 6235.53 2078.970  67.6393 1.212650 0.448335 3.242980 0.0680601 0.0469226 0.897076
   57 6690.664 1.137060   0.511352 6259.47 2064.140  67.9930 1.213080 0.446059 3.229520 0.0671782 0.0472056 0.895074
   58 6690.345 1.162060   0.515241 6345.50 2013.410  68.5764 1.209330 0.439345 3.196800 0.0652884 0.0474442 0.891791
   59 6689.616 1.220660   0.521338 6543.22 1900.880  69.6790 1.210730 0.423892 3.124420 0.0614141 0.0479247 0.884660
   60 6688.275 1.342600   0.527959 6941.76 1691.060  71.2054 1.220810 0.394602 2.991670 0.0547333 0.0484831 0.872820
   61 6686.131 1.483470   0.530537 7283.91 1525.250  72.7854 1.272930 0.365936 2.860440 0.0482385 0.0501564 0.857418
   62 6681.923 1.677600   0.521025 7635.68 1371.210  73.6961 1.361860 0.331399 2.719590 0.0409406 0.0527631 0.838946
   63 6678.954 1.805250   0.503060 7754.97 1325.330  73.3704 1.427450 0.309033 2.656010 0.0366773 0.0551045 0.827636
   64 6678.557 1.882330   0.497715 7950.08 1248.670  73.2806 1.419630 0.293206 2.607540 0.0338898 0.0552752 0.823682
