
 WorkFlow
Start 2024-10-24 10:51:56  Run : 18 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa
    1 6393.315   0.721114 7069.66 2061.28 40.6196 1.091020
    2 6362.334   0.603079 7064.15 2024.47 43.6441 1.000200
    3 6354.743   0.536416 6838.41 2053.22 43.7299 0.903242
    4 6350.358   0.537195 6618.26 2084.05 42.3919 0.857960
    5 6346.659   0.539377 6223.22 2067.77 39.3612 0.782515
    6 6345.999   0.542904 6187.98 2039.49 39.2215 0.797663
    7 6343.272   0.541908 5933.95 1879.88 39.1023 0.844220
    8 6339.426   0.535716 5310.32 1587.61 39.6248 0.917254
    9 6337.517   0.535528 4893.16 1424.88 41.1587 0.964458
   10 6336.552   0.534534 4591.06 1281.28 42.8411 0.978706
   11 6336.146   0.536512 4652.21 1317.96 43.3130 0.952845
   12 6336.084   0.537147 4677.43 1328.12 43.4747 0.936535
   13 6336.081   0.537125 4681.01 1330.62 43.4214 0.934686
   14 6336.074   0.537296 4712.40 1344.22 43.2702 0.929341
   15 6336.067   0.537262 4706.16 1341.60 43.2896 0.929924
   16 6336.051   0.537110 4709.51 1343.60 43.2816 0.930419
