Scenario,Label,nVmax,nV
WorkFlow,Omega
WorkFlow,nVmax,0.0890291115921976,0
WorkFlow,nV,0,0.157352818431814
WorkFlow,Correlation
WorkFlow,nVmax,1,0
WorkFlow,nV,0,1
WorkFlow,Shrinkage,0.0727018725652115,0.105045826965098
