Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,,
WorkFlow,0.177879600613057,1,,,,,,,,,,
WorkFlow,-0.750934463803062,0.0555374140762214,1,,,,,,,,,
WorkFlow,-0.853421663653458,-0.00302169761619232,0.983312540419179,1,,,,,,,,
WorkFlow,0.0535841812886672,-0.166713838480494,-0.236618150537203,-0.198498722146321,1,,,,,,,
WorkFlow,0.051412750772965,-0.353468632036231,-0.2937137073803,-0.247724039906031,0.821098849473763,1,,,,,,
WorkFlow,-0.0661834644207243,-0.361116582371923,-0.249957728371018,-0.178141918424416,0.741627487714772,0.869806607957905,1,,,,,
WorkFlow,-0.0161129566008054,-0.368013228661084,-0.272047750380736,-0.210276833558524,0.782381805275894,0.913166484073915,0.992126151688022,1,,,,
WorkFlow,-0.501104157465632,0.1288289783447,0.329805541434762,0.396034681877948,-0.563079944427506,-0.605192743635748,-0.276493439955677,-0.39167234451411,1,,,
WorkFlow,0.0524412673620486,0.0306741531129373,-0.0244095575970132,-0.0400840549277882,-0.288240637004075,-0.257280288806743,-0.0469292689839111,-0.123639979442416,0.556071771792417,1,,
WorkFlow,-0.157142685166136,0.0475282508953775,0.38084894965853,0.338668105470243,0.0619774502833216,0.112434505254659,0.0851350462730096,0.087667633328647,-0.0535795911373028,0.0505251492844162,1,
WorkFlow,0.551046359005624,-0.0288999338502931,-0.668101785895061,-0.67984289612797,-0.125491114749258,0.0193878006124834,-0.0671415218191263,-0.0507238453132635,-0.14513595558917,0.223952404853782,-0.0586108943526811,1
