Scenario,Var Name,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,stdev0,nVmax-nVmax,nV-nVmax,nV-nV
WorkFlow,GAMMA,4.8127131,,,,,,,,,,,,,,
WorkFlow,CMultStdev,0.010741091,0.00075762543,,,,,,,,,,,,,
WorkFlow,tvVmax,-68145.258,63.23413,1711107300,,,,,,,,,,,,
WorkFlow,tvKm,-67924.961,-3.0175121,1475709800,1316259400,,,,,,,,,,,
WorkFlow,tvV,1.9109955,-0.074597969,-159116.33,-117072.95,264.27505,,,,,,,,,,
WorkFlow,tvKa,0.036069029,-0.003111335,-3885.3618,-2874.1374,4.2686658,0.10226741,,,,,,,,,
WorkFlow,K12,-0.058679576,-0.0040171421,-4178.7624,-2612.0372,4.872551,0.11241747,0.16333715,,,,,,,,
WorkFlow,K21,-0.13418737,-0.038453166,-42719.402,-28960.335,48.282331,1.108562,1.5221267,14.410625,,,,,,,
WorkFlow,K13,-0.027177067,8.7663829e-05,337.2688,355.20868,-0.22629645,-0.0047845593,-0.0027625295,-0.036757326,0.00061116602,,,,,,
WorkFlow,K31,0.0011885469,8.7226411e-06,-10.431498,-15.024172,-0.048409594,-0.00085000855,-0.00019594511,-0.0048489587,0.00014202297,0.00010673241,,,,,
WorkFlow,dVdWT,-0.33455288,0.0012695644,15288.575,11923.964,0.97777157,0.034893445,0.033390774,0.32296563,-0.0012854483,0.00050656056,0.94178384,,,,
WorkFlow,stdev0,9.5013986,-0.0062521377,-217212.93,-193858,-16.034133,0.048730581,-0.21327408,-1.5134149,-0.028200645,0.01818479,-0.44705235,61.774442,,,
WorkFlow,nVmax-nVmax,0.8417246,0.0019288309,-2187.861,-4941.6042,-0.96069636,-0.015715601,-0.065255055,-0.49242021,-0.0068861967,0.00071443183,0.20910519,2.0305762,0.54946782,,
WorkFlow,nV-nVmax,0.30829218,0.002390415,-720.07499,-2028.2923,-0.85950713,-0.02305016,-0.048105923,-0.38700106,-0.0023731451,-0.00044765728,-0.058759013,-0.52706691,0.052928692,0.099579277,
WorkFlow,nV-nV,0.069948389,0.0027968087,1649.5334,740.47915,-2.6002903,-0.058631152,-0.088232445,-0.81794146,0.0013188426,0.0003597712,0.0067415337,0.66940784,0.062522475,0.019213669,0.073138879
