Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,4.81271306164868,,,,,,,,,,,
WorkFlow,0.0107410911328909,0.000757625427355681,,,,,,,,,,
WorkFlow,-68145.258348141,63.2341298095193,1711107292.493,,,,,,,,,
WorkFlow,-67924.9610507622,-3.01751212121871,1475709758.98433,1316259445.49763,,,,,,,,
WorkFlow,1.91099550806027,-0.0745979690679649,-159116.331938619,-117072.946173291,264.275050180785,,,,,,,
WorkFlow,0.0360690290021163,-0.003111335008046,-3885.3617620646,-2874.13742454524,4.26866576513097,0.102267408513862,,,,,,
WorkFlow,-0.058679576472773,-0.0040171420732549,-4178.76240890745,-2612.0372395337,4.87255095138907,0.112417472612963,0.163337151712023,,,,,
WorkFlow,-0.13418736576086,-0.0384531663229435,-42719.4020663253,-28960.3351956561,48.282331038432,1.10856201646925,1.52212665671028,14.41062478778,,,,
WorkFlow,-0.0271770673927842,8.76638286882047e-05,337.268802188272,355.208681005419,-0.22629645035784,-0.00478455926325559,-0.00276252948147183,-0.0367573262988447,0.000611166021865971,,,
WorkFlow,0.00118854688072348,8.72264113302781e-06,-10.4314980784532,-15.0241721771136,-0.0484095943991553,-0.000850008547846707,-0.000195945110731259,-0.00484895867046956,0.00014202297411599,0.000106732407599967,,
WorkFlow,-0.334552878399633,0.00126956435134754,15288.574698499,11923.9642388458,0.977771566444483,0.0348934454667204,0.0333907736555441,0.322965627636471,-0.001285448293686,0.000506560561563717,0.941783836303755,
WorkFlow,9.50139862317832,-0.00625213773146329,-217212.928475305,-193858.001504075,-16.0341327994664,0.0487305807603318,-0.213274084684009,-1.51341485249631,-0.0282006445400647,0.0181847904318523,-0.447052349500621,61.7744424183108
