
 WorkFlow
Start 2024-09-22 08:05:28  Run : 34.9 nSubj: 60 nObs : 480
 Iter      -2LL   GAMMA CMultStdev  tvVmax    tvKm     tvV    tvKa      K12     K21       K13        K31   dVdWT
    1 14965.728 1.60116   1.001270 3999.46 4000.81 49.9460 1.20002 1.950990 3.02162 0.1198900 0.00498583 1.09975
    2 13290.353 1.60135   1.001620 3999.30 4001.01 49.9258 1.20001 1.936100 3.02805 0.1246780 0.01244980 1.09966
    3 12842.391 1.60167   1.002260 3999.05 4001.30 49.8874 1.20007 1.907400 3.04050 0.1351390 0.01604880 1.09948
    4 12004.805 1.60262   1.004190 3998.32 4002.15 49.7736 1.20026 1.821050 3.07825 0.1691530 0.02130680 1.09896
    5  9370.762 1.60570   1.010410 3995.93 4004.92 49.4093 1.20082 1.548060 3.20257 0.3048740 0.03295490 1.09727
    6  7139.490 1.60897   1.016990 3993.38 4007.89 49.0274 1.20136 1.271420 3.33826 0.4929060 0.04901530 1.09549
    7  7138.061 1.60866   1.016360 3993.61 4007.62 49.0607 1.20123 1.296050 3.32564 0.4726580 0.04737180 1.09565
    8  7127.938 1.60880   1.016640 3993.50 4007.75 49.0422 1.20121 1.283690 3.33186 0.4813050 0.04856510 1.09556
    9  7123.763 1.60882   1.016650 3993.47 4007.77 49.0361 1.20110 1.281040 3.33306 0.4814360 0.04928690 1.09553
   10  7078.350 1.60885   1.016430 3993.30 4007.93 48.9712 1.19945 1.259460 3.34198 0.4702250 0.05894730 1.09520
   11  6984.309 1.60869   1.015480 3993.08 4008.09 48.8527 1.19575 1.230050 3.35246 0.4320770 0.08167240 1.09458
   12  6914.093 1.60852   1.014620 3992.93 4008.18 48.7627 1.19277 1.210070 3.35910 0.4000600 0.10221300 1.09411
   13  6896.777 1.60846   1.014240 3992.86 4008.23 48.7216 1.19145 1.200040 3.36264 0.3871280 0.11211800 1.09389
   14  6888.165 1.60835   1.013270 3992.60 4008.42 48.6003 1.18777 1.166030 3.37551 0.3562500 0.14258000 1.09326
   15  6872.628 1.60838   1.013000 3992.48 4008.54 48.5554 1.18657 1.149620 3.38225 0.3502650 0.15350900 1.09304
   16  6866.860 1.60837   1.012250 3992.23 4008.75 48.4536 1.18367 1.115700 3.39582 0.3321240 0.18117600 1.09251
   17  6866.860 1.60837   1.012250 3992.23 4008.75 48.4536 1.18367 1.115700 3.39582 0.3321240 0.18117600 1.09251
   18  6866.807 1.60836   1.012140 3992.24 4008.73 48.4550 1.18363 1.114360 3.39594 0.3320280 0.18114100 1.09252
   19  6866.767 1.60832   1.011600 3992.29 4008.66 48.4612 1.18345 1.110830 3.39553 0.3302630 0.18101900 1.09255
   20  6866.598 1.60812   1.009450 3992.47 4008.37 48.4863 1.18276 1.097480 3.39361 0.3228670 0.18053100 1.09270
   21  6866.236 1.60512   0.976857 3995.35 4003.90 48.8718 1.17217 0.906344 3.36296 0.2184190 0.17304000 1.09486
