Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,-0.234476001899454,1,,,,,,,,,
WorkFlow,-0.329424984433891,0.973594126429664,1,,,,,,,,
WorkFlow,-0.114566581483281,-0.0840454009136206,-0.0508235623606344,1,,,,,,,
WorkFlow,-0.255554665547099,-0.0196643580020749,0.0162532208485618,0.970946260852689,1,,,,,,
WorkFlow,-0.848513532987152,0.160241810920554,0.254255723702176,-0.171731423637505,-0.0614324170940541,1,,,,,
WorkFlow,-0.229500511056999,-0.0914623428696839,-0.0374971397103149,0.960050261266276,0.924117946116169,-0.0400282216996504,1,,,,
WorkFlow,0.210673185594756,0.0944437108577607,0.0419837775140853,-0.96175339083647,-0.922963913938105,0.06124205641612,-0.999762528165484,1,,,
WorkFlow,-0.11464937155075,0.209472183256079,0.166840197315409,0.133366168823371,0.266150456217422,-0.0440469093433917,-0.0960976358969777,0.0990214262144554,1,,
WorkFlow,-0.379096187146245,0.263740677058543,0.213893931359082,0.027558639921446,0.0707522347420547,0.192488817889172,0.11838729269662,-0.113604638804799,-0.0634740522426106,1,
WorkFlow,0.34422784379103,-0.695856113602288,-0.698458645250222,-0.384004627706939,-0.450214976416849,-0.178903195520498,-0.338820928224466,0.33371930705789,-0.367322133453514,-0.247653291637243,1
