Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,0.0554004222496931,,,,,,,,,,
WorkFlow,-865.411001008286,245886648.743239,,,,,,,,,
WorkFlow,-1204.46319768966,237151503.477844,241302002.697189,,,,,,,,
WorkFlow,-2.37761325199525,-116200.5404337,-69610.1046402396,7774.15940809714,,,,,,,
WorkFlow,-0.149023613404741,-763.944809095197,625.51054839162,212.098038660476,6.13803663531012,,,,,,
WorkFlow,-0.00985471074869605,123.985783029988,194.885609833612,-0.74714528797056,-0.00751001686343744,0.0024347655136752,,,,,
WorkFlow,-0.496928953415213,-13193.6179201792,-5358.3701544931,778.708289807682,21.0618370997229,-0.0181697509477443,84.626857500597,,,,
WorkFlow,0.119467496929555,3567.99700913689,1571.25234869458,-204.302843741958,-5.50913511954169,0.00728051835111312,-22.1582229070686,5.80454162059643,,,
WorkFlow,-0.0289587397608444,3524.88761958676,2781.20243015216,12.6189679830405,0.707609076986719,-0.00233235929603477,-0.948676741122892,0.256014512318931,1.15160325679466,,
WorkFlow,-0.0805102659669139,3731.55543858023,2997.94895185545,2.19245055949501,0.158161293237603,0.00856997162115447,0.982662773308578,-0.246959272731882,-0.0614600592603941,0.814124107355622,
WorkFlow,0.289595031944469,-39000.9777078769,-38780.1722468788,-121.018496258839,-3.98678897978778,-0.0315526065538786,-11.1407109981726,2.87378233729275,-1.40892252876803,-0.798689519280434,12.7754776512496
