
 WorkFlow
Start 2024-10-19 14:25:12  Run : 11.75 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa       K12      K21       K13       K31    dVdWT
    1 7206.107   1.127550 3874.70 4115.99 44.8586 1.184040 0.9535760 4.003470 0.1200060 0.0247725 1.094630
    2 6833.114   1.132350 3860.24 4129.18 44.4990 1.179920 0.8023490 4.121750 0.1224480 0.0249939 1.093990
    3 6830.197   1.126860 3861.10 4128.30 44.6259 1.177660 0.8065830 4.118020 0.1222570 0.0250501 1.093870
    4 6818.613   1.092510 3864.89 4124.28 45.3968 1.162710 0.8163520 4.107220 0.1213160 0.0254601 1.093000
    5 6799.062   1.022850 3871.32 4117.23 46.9823 1.131140 0.8203790 4.097100 0.1196090 0.0263702 1.091110
    6 6749.115   0.827713 3888.89 4097.60 51.8413 1.036600 0.8098520 4.083880 0.1148730 0.0292521 1.085340
    7 6698.873   0.594422 3911.69 4071.94 58.8181 0.909328 0.7702040 4.084780 0.1088770 0.0334925 1.077340
    8 6672.046   0.597334 3912.08 4071.41 58.7076 0.908689 0.7480570 4.100980 0.1090940 0.0335737 1.077210
    9 6668.028   0.618415 3913.77 4070.12 57.9501 0.918843 0.7421500 4.107350 0.1094120 0.0333382 1.077700
   10 6666.544   0.614116 3919.83 4064.18 58.0057 0.914402 0.7371470 4.109660 0.1088470 0.0336357 1.077240
   11 6661.373   0.609852 3945.46 4039.31 57.7692 0.904109 0.7259320 4.114030 0.1066930 0.0346135 1.075770
   12 6647.109   0.601617 4024.67 3963.92 56.9036 0.876836 0.7026110 4.121100 0.1003500 0.0375135 1.071610
   13 6566.797   0.536008 4356.73 3662.62 54.6353 0.753996 0.6225070 4.139750 0.0761094 0.0510073 1.054120
   14 6545.566   0.495219 4530.80 3513.97 53.8657 0.690840 0.5831970 4.149280 0.0651408 0.0587309 1.045160
   15 6538.241   0.540456 4630.33 3432.84 51.1296 0.699547 0.5744370 4.154450 0.0609182 0.0612320 1.042860
   16 6535.960   0.534391 4620.79 3440.74 51.5943 0.705188 0.5790800 4.151950 0.0619529 0.0605499 1.043550
   17 6528.310   0.509556 4636.72 3428.48 53.2694 0.736232 0.5964180 4.139920 0.0651699 0.0586539 1.045480
   18 6524.858   0.510275 4669.19 3402.97 53.4096 0.755917 0.6002430 4.136400 0.0660037 0.0581776 1.046060
   19 6503.593   0.507336 4982.97 3163.30 53.7377 0.873816 0.6026990 4.119420 0.0675552 0.0580949 1.046460
   20 6477.078   0.500918 5524.53 2787.09 54.0878 1.058320 0.5920760 4.098510 0.0687934 0.0589949 1.046020
