"Scenario","Iter","Parameter","Value"
"WorkFlow",1,"-2LL",6435.25334
"WorkFlow",1,"CMultStdev",0.46682
"WorkFlow",1,"tvVmax",6371.73
"WorkFlow",1,"tvKm",2264.64
"WorkFlow",1,"tvV",48.3883
"WorkFlow",1,"tvKa",0.958361
"WorkFlow",1,"dVdWT",1.09428
"WorkFlow",2,"-2LL",6421.08566
"WorkFlow",2,"CMultStdev",0.565599
"WorkFlow",2,"tvVmax",6445.93
"WorkFlow",2,"tvKm",1802.31
"WorkFlow",2,"tvV",41.2558
"WorkFlow",2,"tvKa",0.849898
"WorkFlow",2,"dVdWT",1.05859
"WorkFlow",3,"-2LL",6413.2053
"WorkFlow",3,"CMultStdev",0.497567
"WorkFlow",3,"tvVmax",6201.35
"WorkFlow",3,"tvKm",1604.49
"WorkFlow",3,"tvV",38.5887
"WorkFlow",3,"tvKa",0.802028
"WorkFlow",3,"dVdWT",1.04869
"WorkFlow",4,"-2LL",6406.58286
"WorkFlow",4,"CMultStdev",0.477053
"WorkFlow",4,"tvVmax",5657.51
"WorkFlow",4,"tvKm",1659.65
"WorkFlow",4,"tvV",39.4048
"WorkFlow",4,"tvKa",0.851416
"WorkFlow",4,"dVdWT",1.05735
"WorkFlow",5,"-2LL",6396.76244
"WorkFlow",5,"CMultStdev",0.474123
"WorkFlow",5,"tvVmax",4465.38
"WorkFlow",5,"tvKm",1512.14
"WorkFlow",5,"tvV",40.5125
"WorkFlow",5,"tvKa",0.917008
"WorkFlow",5,"dVdWT",1.06448
"WorkFlow",6,"-2LL",6389.23062
"WorkFlow",6,"CMultStdev",0.487913
"WorkFlow",6,"tvVmax",4043.65
"WorkFlow",6,"tvKm",1246.04
"WorkFlow",6,"tvV",42.4067
"WorkFlow",6,"tvKa",0.966153
"WorkFlow",6,"dVdWT",1.06419
"WorkFlow",7,"-2LL",6381.91752
"WorkFlow",7,"CMultStdev",0.504779
"WorkFlow",7,"tvVmax",3965.5
"WorkFlow",7,"tvKm",917.985
"WorkFlow",7,"tvV",44.6927
"WorkFlow",7,"tvKa",1.02185
"WorkFlow",7,"dVdWT",1.03813
"WorkFlow",8,"-2LL",6380.20384
"WorkFlow",8,"CMultStdev",0.501266
"WorkFlow",8,"tvVmax",3899.94
"WorkFlow",8,"tvKm",987.851
"WorkFlow",8,"tvV",44.3805
"WorkFlow",8,"tvKa",1.00968
"WorkFlow",8,"dVdWT",1.01173
"WorkFlow",9,"-2LL",6378.31434
"WorkFlow",9,"CMultStdev",0.492891
"WorkFlow",9,"tvVmax",3905.49
"WorkFlow",9,"tvKm",1040.83
"WorkFlow",9,"tvV",43.1059
"WorkFlow",9,"tvKa",0.985663
"WorkFlow",9,"dVdWT",0.953034
"WorkFlow",10,"-2LL",6376.54402
"WorkFlow",10,"CMultStdev",0.489076
"WorkFlow",10,"tvVmax",4318.25
"WorkFlow",10,"tvKm",1228.7
"WorkFlow",10,"tvV",42.1333
"WorkFlow",10,"tvKa",0.920826
"WorkFlow",10,"dVdWT",0.902448
"WorkFlow",11,"-2LL",6375.87768
"WorkFlow",11,"CMultStdev",0.490224
"WorkFlow",11,"tvVmax",4307.38
"WorkFlow",11,"tvKm",1174.23
"WorkFlow",11,"tvV",42.2512
"WorkFlow",11,"tvKa",0.925086
"WorkFlow",11,"dVdWT",0.915104
"WorkFlow",12,"-2LL",6375.65242
"WorkFlow",12,"CMultStdev",0.492174
"WorkFlow",12,"tvVmax",4281.11
"WorkFlow",12,"tvKm",1134.13
"WorkFlow",12,"tvV",41.9371
"WorkFlow",12,"tvKa",0.932745
"WorkFlow",12,"dVdWT",0.954735
"WorkFlow",13,"-2LL",6375.37396
"WorkFlow",13,"CMultStdev",0.494003
"WorkFlow",13,"tvVmax",4236.02
"WorkFlow",13,"tvKm",1108.56
"WorkFlow",13,"tvV",42.3539
"WorkFlow",13,"tvKa",0.932487
"WorkFlow",13,"dVdWT",1.00429
"WorkFlow",14,"-2LL",6375.22216
"WorkFlow",14,"CMultStdev",0.499219
"WorkFlow",14,"tvVmax",4223.9
"WorkFlow",14,"tvKm",1109.4
"WorkFlow",14,"tvV",42.8786
"WorkFlow",14,"tvKa",0.940202
"WorkFlow",14,"dVdWT",1.11491
"WorkFlow",15,"-2LL",6375.0168
"WorkFlow",15,"CMultStdev",0.495186
"WorkFlow",15,"tvVmax",4223.21
"WorkFlow",15,"tvKm",1123.52
"WorkFlow",15,"tvV",42.5754
"WorkFlow",15,"tvKa",0.938695
"WorkFlow",15,"dVdWT",1.07376
"WorkFlow",16,"-2LL",6374.89054
"WorkFlow",16,"CMultStdev",0.492633
"WorkFlow",16,"tvVmax",4184.83
"WorkFlow",16,"tvKm",1119.47
"WorkFlow",16,"tvV",42.4984
"WorkFlow",16,"tvKa",0.943411
"WorkFlow",16,"dVdWT",1.03767
"WorkFlow",17,"-2LL",6374.85494
"WorkFlow",17,"CMultStdev",0.488245
"WorkFlow",17,"tvVmax",4109.65
"WorkFlow",17,"tvKm",1096.61
"WorkFlow",17,"tvV",42.308
"WorkFlow",17,"tvKa",0.946826
"WorkFlow",17,"dVdWT",0.953584
"WorkFlow",18,"-2LL",6374.7588
"WorkFlow",18,"CMultStdev",0.490497
"WorkFlow",18,"tvVmax",4100.67
"WorkFlow",18,"tvKm",1093.06
"WorkFlow",18,"tvV",42.4626
"WorkFlow",18,"tvKa",0.947654
"WorkFlow",18,"dVdWT",0.962816
"WorkFlow",19,"-2LL",6374.6667
"WorkFlow",19,"CMultStdev",0.494427
"WorkFlow",19,"tvVmax",4105.88
"WorkFlow",19,"tvKm",1084.45
"WorkFlow",19,"tvV",42.7182
"WorkFlow",19,"tvKa",0.947434
"WorkFlow",19,"dVdWT",0.973646
"WorkFlow",20,"-2LL",6374.66604
"WorkFlow",20,"CMultStdev",0.494432
"WorkFlow",20,"tvVmax",4105.76
"WorkFlow",20,"tvKm",1084.4
"WorkFlow",20,"tvV",42.7184
"WorkFlow",20,"tvKa",0.947441
"WorkFlow",20,"dVdWT",0.973665
"WorkFlow",21,"-2LL",6374.59486
"WorkFlow",21,"CMultStdev",0.494775
"WorkFlow",21,"tvVmax",4143.6
"WorkFlow",21,"tvKm",1098.84
"WorkFlow",21,"tvV",42.5981
"WorkFlow",21,"tvKa",0.942035
"WorkFlow",21,"dVdWT",0.993325
"WorkFlow",22,"-2LL",6374.57428
"WorkFlow",22,"CMultStdev",0.494977
"WorkFlow",22,"tvVmax",4160.19
"WorkFlow",22,"tvKm",1104.5
"WorkFlow",22,"tvV",42.5376
"WorkFlow",22,"tvKa",0.939735
