
 WorkFlow
Start 2024-10-19 14:55:10  Run : 2.08333333333333 nSubj: 60 nObs : 480
 Iter     -2LL   GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa
    1 7835.618 1.51189   0.951302 4135.76 3818.210 51.6393 1.193200
    2 7715.092 1.41496   0.910697 4285.10 3629.790 52.6167 1.190090
    3 7550.801 1.31082   0.879675 4441.10 3446.460 52.8119 1.189930
    4 7324.633 1.20001   0.857683 4584.39 3287.610 52.2729 1.191000
    5 7171.870 1.09152   0.835107 4724.49 3147.000 51.5845 1.192140
    6 7105.733 1.13130   0.743710 5006.33 2978.310 53.3359 1.195780
    7 7002.520 1.67865   0.387102 7129.68 1637.450 35.7994 1.608890
    8 6998.385 1.70255   0.405415 7311.70 1545.800 36.4211 1.618320
    9 6996.909 1.67276   0.432440 8213.25 1853.610 38.2946 1.848970
   10 6993.180 1.62071   0.435139 8419.93 1984.860 39.4305 1.954200
   11 6990.118 1.59354   0.442879 9010.48 2230.910 37.8949 1.846860
   12 6983.828 1.74274   0.421697 4854.43 1061.340 32.1319 0.650231
   13 6925.460 1.52073   0.465518 3621.30  954.271 41.2197 1.571760
   14 6897.549 1.43135   0.503642 7263.70 2125.390 39.7831 1.462790
   15 6888.955 1.57790   0.501309 6407.01 1600.240 40.6806 1.463170
   16 6877.943 1.59208   0.499785 5249.26 1284.970 42.0487 1.428020
   17 6874.773 1.61642   0.497304 4682.27 1118.560 42.4152 1.396440
   18 6872.764 1.65414   0.492717 4046.04  957.261 42.3856 1.300490
   19 6871.221 1.64652   0.492620 4212.28 1039.320 41.8389 1.241460
   20 6870.713 1.65956   0.492398 4213.23 1036.190 41.4995 1.213770
   21 6869.958 1.68767   0.491734 4163.59 1004.640 41.1353 1.196360
   22 6869.043 1.72710   0.490056 3940.83  926.470 41.0898 1.191920
   23 6867.667 1.80382   0.487993 3432.48  767.986 41.6809 1.229710
   24 6866.492 1.81911   0.489285 3318.50  748.229 42.3997 1.283940
   25 6866.085 1.83372   0.492815 3096.87  698.278 43.3667 1.317830
   26 6865.929 1.81708   0.497077 3174.52  716.969 43.6907 1.332570
   27 6865.922 1.82230   0.497395 3151.79  707.954 43.6952 1.334730
   28 6865.920 1.82297   0.497439 3147.83  707.758 43.6775 1.333520
   29 6865.919 1.82434   0.497580 3143.77  706.849 43.6761 1.333730
   30 6865.917 1.82660   0.497721 3139.05  705.119 43.6863 1.334600
   31 6865.916 1.82807   0.497625 3135.50  703.496 43.7059 1.335840
   32 6865.915 1.82498   0.497832 3150.64  707.903 43.6918 1.335210
