
 WorkFlow
Start 2024-09-22 17:18:10  Run : 1.71666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa    dVdWT
    1 6455.843   0.524328 6622.16 2221.320 47.4771 1.004590 1.081960
    2 6447.929   0.534987 6580.35 1968.060 44.3475 0.995424 1.066330
    3 6438.912   0.511599 6114.80 1562.180 39.7516 0.992639 1.047380
    4 6427.139   0.541890 5351.00 1399.540 38.1206 1.021380 1.039930
    5 6410.117   0.542327 4235.45 1207.140 38.2612 1.049680 1.037330
    6 6405.553   0.526964 3211.35  888.595 42.1620 1.120690 1.043190
    7 6395.565   0.522408 3843.36  940.315 44.7576 1.147100 1.057340
    8 6392.598   0.529552 4012.67 1047.390 45.9190 1.193300 1.055990
    9 6389.364   0.531615 4040.15 1042.370 46.6308 1.263160 1.034780
   10 6387.667   0.531873 4152.76 1099.340 45.6903 1.236010 1.005980
   11 6383.977   0.527629 4627.42 1333.300 43.1189 1.086710 0.912764
   12 6383.040   0.523329 4660.09 1343.710 43.0277 1.066080 0.895389
   13 6380.899   0.517976 4717.80 1359.110 43.4920 1.062550 0.843327
   14 6379.977   0.521644 4643.40 1310.450 44.1534 1.083510 0.804376
   15 6379.521   0.527043 4531.21 1269.890 44.3792 1.103730 0.788892
   16 6378.973   0.531930 4408.81 1229.230 44.4081 1.125840 0.763577
   17 6378.272   0.535281 4312.18 1198.910 44.3681 1.138380 0.731704
   18 6377.254   0.536233 4233.34 1168.700 44.4436 1.149070 0.701150
   19 6376.471   0.533352 4324.97 1198.440 44.5318 1.130510 0.687969
   20 6375.978   0.528689 4460.38 1237.900 44.6216 1.104980 0.704017
   21 6375.775   0.526951 4513.91 1255.150 44.7937 1.094720 0.723091
   22 6375.380   0.523030 4595.48 1278.730 44.8835 1.078970 0.770677
   23 6375.027   0.523899 4585.16 1276.040 44.7311 1.079950 0.809087
   24 6374.801   0.526859 4541.57 1266.830 44.4029 1.086480 0.850095
   25 6374.679   0.528342 4535.90 1269.440 44.3574 1.090460 0.830863
   26 6374.458   0.530658 4510.62 1269.400 44.0137 1.100270 0.788930
   27 6374.295   0.530519 4534.96 1278.910 43.9906 1.098160 0.766283
   28 6373.555   0.529950 4694.71 1330.750 44.0675 1.087380 0.716974
   29 6373.454   0.530283 4738.63 1347.380 44.1190 1.081630 0.710529
   30 6373.358   0.529883 4752.40 1351.730 44.1960 1.072530 0.727891
   31 6373.314   0.529814 4803.59 1379.000 44.2258 1.049350 0.779938
   32 6373.203   0.529498 4762.22 1357.060 44.1078 1.066930 0.772997
   33 6373.164   0.529259 4768.79 1358.730 44.1448 1.068860 0.778392
   34 6373.108   0.528511 4797.95 1367.370 44.2542 1.074300 0.796313
   35 6373.077   0.529218 4787.14 1361.790 44.1888 1.072580 0.804541
   36 6373.039   0.530341 4772.68 1353.760 44.0164 1.067760 0.832211
   37 6373.020   0.530760 4770.09 1351.070 43.9630 1.067130 0.853466
   38 6372.968   0.529466 4781.20 1360.220 43.9939 1.067470 0.820789
   39 6372.942   0.528741 4811.55 1371.680 44.1172 1.069800 0.797570
   40 6372.914   0.528493 4836.57 1381.180 44.0879 1.069450 0.786372
   41 6372.882   0.529084 4857.58 1390.040 43.9837 1.065230 0.770461
   42 6372.862   0.529220 4872.50 1398.420 43.9372 1.063630 0.763965
   43 6372.817   0.529379 4925.77 1422.250 43.8487 1.061350 0.757859
   44 6372.803   0.529071 4946.91 1429.240 43.8622 1.062150 0.765873
   45 6372.789   0.528746 4976.26 1437.500 43.8972 1.063460 0.783260
   46 6372.784   0.528805 4983.02 1438.820 43.9119 1.063900 0.791173
   47 6372.773   0.529090 4991.20 1440.980 43.9150 1.063900 0.801164
   48 6372.761   0.529351 4997.77 1443.740 43.8987 1.063220 0.804519
   49 6372.739   0.529706 5015.49 1451.930 43.8326 1.060800 0.803564
   50 6372.714   0.529846 5036.55 1461.550 43.7577 1.057550 0.794738
   51 6372.695   0.529699 5048.50 1466.400 43.7187 1.055340 0.784167
   52 6372.688   0.529456 5053.64 1467.310 43.7182 1.054620 0.777959
   53 6372.684   0.529275 5058.33 1468.700 43.7237 1.054420 0.777546
   54 6372.678   0.528987 5074.03 1474.420 43.7174 1.053510 0.779047
   55 6372.669   0.528828 5092.46 1481.680 43.6946 1.052210 0.783841
   56 6372.657   0.528838 5103.46 1487.010 43.6607 1.051290 0.791367
   57 6372.640   0.529009 5119.76 1494.620 43.6054 1.049720 0.796891
   58 6372.626   0.529097 5130.47 1499.360 43.5773 1.048710 0.794919
   59 6372.620   0.529100 5134.74 1500.420 43.5829 1.048630 0.789895
   60 6372.612   0.528960 5144.56 1503.120 43.5947 1.048380 0.783645
   61 6372.612   0.528910 5142.97 1501.860 43.6037 1.048610 0.782730
