Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,0.000981853341531614,,,,,,,,,,
WorkFlow,29.0323616653149,66249189.0962652,,,,,,,,,
WorkFlow,15.6230323275898,36405687.2792869,20425533.0119341,,,,,,,,
WorkFlow,0.0854531754157807,-8566.17034548347,-6068.65169273026,79.3486953144261,,,,,,,
WorkFlow,-0.000504289586235336,40.4765487464923,-4.56921918533041,0.542528178191616,0.0218206626233902,,,,,,
WorkFlow,0.000303976386602159,-24.5098289744299,12.4547820360694,-0.41610381630501,-0.00978153128817543,0.0177333929009082,,,,,
WorkFlow,0.00107065005342073,198.633873103867,218.528596858372,-1.69947835019471,-0.0388196530586114,0.0800868346041519,0.367871263182276,,,,
WorkFlow,6.03490391111285e-05,-45.7784791860573,-22.3661465484434,-0.0754841196148092,-0.00187290359323706,0.00241086584034265,0.0102209862374735,0.000410941423042453,,,
WorkFlow,6.95254514019542e-05,27.499510990756,17.3971385357178,-0.0476737639575384,-0.000971589817883993,0.00139928138627745,0.00610897101265838,0.000208659517485765,0.000171893701724007,,
WorkFlow,-0.000398011744254852,1196.3116253204,652.712394753147,0.021168487955069,0.00470112270326089,0.00733049385093079,0.0432355896443666,-0.000140366691959524,0.000357659052968031,0.39456788106655,
WorkFlow,0.0276614665626286,-2724.08941709743,-1999.52498529196,13.2872682246419,0.144396313564982,-0.287380432900056,-1.32081950110693,-0.035370867747863,-0.0197677906525188,-0.606947691556674,15.5949138522987
