
 WorkFlow
Start 2024-10-19 14:14:18  Run : 4.56666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31   dVdWT
    1 7242.509   1.131070 3818.36 4176.620 45.4349 1.193630 0.975647 3.97623 0.1204800 0.0236754 1.09693
    2 6792.732   1.136520 3803.10 4190.170 45.0577 1.189840 0.834136 4.08655 0.1225830 0.0239165 1.09667
    3 6784.219   1.132360 3801.08 4191.810 45.1090 1.186710 0.815957 4.09983 0.1226730 0.0240355 1.09671
    4 6781.044   1.125620 3800.23 4192.320 45.2358 1.182700 0.809812 4.10378 0.1225020 0.0241525 1.09681
    5 6767.024   1.085840 3796.80 4193.910 46.0238 1.159470 0.789367 4.11534 0.1212540 0.0248020 1.09743
    6 6740.156   0.996486 3790.68 4195.930 47.8929 1.106740 0.759614 4.12945 0.1181380 0.0262780 1.09888
    7 6689.041   0.805047 3779.10 4198.260 52.3457 0.988025 0.714039 4.14634 0.1107320 0.0297756 1.10225
    8 6631.614   0.645069 3771.72 4197.240 56.6471 0.881488 0.696512 4.14485 0.1035070 0.0331981 1.10541
    9 6563.609   0.513875 3771.94 4189.630 60.7002 0.788140 0.723317 4.11222 0.0959715 0.0365453 1.10835
   10 6555.786   0.596015 3777.76 4188.490 58.0602 0.847096 0.736144 4.11055 0.0997378 0.0344983 1.10654
   11 6553.768   0.575717 3777.70 4187.140 58.6442 0.831566 0.731996 4.11106 0.0985362 0.0351032 1.10701
   12 6551.762   0.557713 3779.89 4183.230 59.1002 0.815830 0.727622 4.11103 0.0969934 0.0358379 1.10747
   13 6547.813   0.540393 3787.11 4173.350 59.3814 0.796506 0.720928 4.11052 0.0944775 0.0369875 1.10804
   14 6536.613   0.514864 3814.57 4138.950 59.2771 0.755475 0.703603 4.10789 0.0876294 0.0401425 1.10923
   15 6520.855   0.510291 3862.21 4082.880 57.9176 0.717867 0.677838 4.10578 0.0788555 0.0444007 1.11033
   16 6505.376   0.530379 3937.58 3999.040 55.1307 0.687402 0.641174 4.10552 0.0684467 0.0499453 1.11136
   17 6502.558   0.551194 3962.01 3974.470 53.9745 0.695353 0.632723 4.10636 0.0669287 0.0507323 1.11132
   18 6501.374   0.564959 3990.81 3945.900 53.0555 0.700969 0.629948 4.10208 0.0651180 0.0517112 1.11150
   19 6500.003   0.568228 3993.76 3944.830 53.0994 0.711775 0.632774 4.10161 0.0662267 0.0510557 1.11145
   20 6496.352   0.570778 4020.66 3924.020 53.2487 0.742157 0.638575 4.09786 0.0685280 0.0498162 1.11175
   21 6489.885   0.565983 4104.71 3852.140 53.3485 0.793367 0.640152 4.08873 0.0704666 0.0490430 1.11312
   22 6471.926   0.538729 4406.15 3596.900 53.0983 0.923951 0.624633 4.06091 0.0708037 0.0500066 1.11841
   23 6434.732   0.421699 5883.12 2555.380 50.6105 1.459130 0.527301 3.94482 0.0619703 0.0607312 1.14260
   24 6429.191   0.472353 5415.89 2846.700 50.6023 1.287650 0.554467 3.97895 0.0631372 0.0580915 1.13500
   25 6426.610   0.459562 5533.41 2768.370 50.6440 1.322120 0.547034 3.96962 0.0621238 0.0591944 1.13705
   26 6424.458   0.446014 5582.10 2733.500 51.2341 1.321320 0.543676 3.96520 0.0611930 0.0600710 1.13836
   27 6422.882   0.444079 5559.74 2743.170 51.7081 1.291970 0.542683 3.96678 0.0601811 0.0607074 1.13847
   28 6420.290   0.444297 5483.20 2782.750 52.8611 1.220650 0.541343 3.97314 0.0585631 0.0616465 1.13830
   29 6417.193   0.447384 5448.59 2793.710 54.1410 1.161500 0.536563 3.97680 0.0569968 0.0627330 1.13890
   30 6410.273   0.455605 5497.68 2738.610 56.9008 1.096010 0.524388 3.97395 0.0549837 0.0645930 1.14204
   31 6400.461   0.469652 5736.86 2559.750 60.7370 1.091190 0.508252 3.95377 0.0541348 0.0663460 1.14882
   32 6390.516   0.484519 6112.25 2312.570 65.8051 1.149280 0.498789 3.91914 0.0562757 0.0663978 1.15800
   33 6387.046   0.491951 6349.48 2171.490 68.7379 1.211740 0.500210 3.89554 0.0592207 0.0652207 1.16324
   34 6386.496   0.494054 6423.85 2130.530 69.3692 1.241660 0.503122 3.88723 0.0605348 0.0645290 1.16466
   35 6386.360   0.493957 6423.42 2131.570 69.2444 1.248040 0.505155 3.88623 0.0608384 0.0642696 1.16458
   36 6386.284   0.493816 6408.47 2140.060 69.1026 1.247940 0.507143 3.88636 0.0609763 0.0640706 1.16434
   37 6386.277   0.493324 6400.97 2143.840 69.0438 1.244880 0.507031 3.88671 0.0608043 0.0641428 1.16427
   38 6386.276   0.493253 6392.33 2147.680 69.0951 1.240020 0.506911 3.88693 0.0606792 0.0641803 1.16429
   39 6386.271   0.493639 6394.08 2146.490 69.0864 1.240970 0.506821 3.88648 0.0606805 0.0641647 1.16438
   40 6386.225   0.496628 6399.71 2139.480 69.0255 1.246460 0.505696 3.88106 0.0605534 0.0639743 1.16560
   41 6386.165   0.498998 6401.36 2131.800 69.0381 1.251830 0.503982 3.87248 0.0603341 0.0636592 1.16759
   42 6385.985   0.503991 6396.45 2108.860 69.2220 1.265060 0.497325 3.84136 0.0593572 0.0625978 1.17499
   43 6385.633   0.509902 6376.05 2062.390 69.8134 1.289050 0.482179 3.77238 0.0570714 0.0603308 1.19175
   44 6384.993   0.514585 6318.29 1978.930 71.1632 1.329360 0.451802 3.63632 0.0524022 0.0560127 1.22583
   45 6384.273   0.511897 6219.22 1884.660 73.0509 1.374080 0.412916 3.46321 0.0464433 0.0506587 1.27109
   46 6383.792   0.501637 6136.76 1853.510 74.0944 1.387510 0.393113 3.37755 0.0434128 0.0480144 1.29449
   47 6383.613   0.493889 6124.16 1861.690 74.2693 1.378810 0.392566 3.38086 0.0432998 0.0482381 1.29385
   48 6383.567   0.492930 6133.17 1868.290 74.2067 1.373480 0.395405 3.39445 0.0436921 0.0487210 1.29017
   49 6383.545   0.492846 6133.45 1872.800 74.1624 1.370660 0.396903 3.40021 0.0438742 0.0488999 1.28855
   50 6383.537   0.492911 6131.99 1874.640 74.1573 1.369390 0.397453 3.40169 0.0439233 0.0489528 1.28808
   51 6383.533   0.492990 6128.40 1875.850 74.1728 1.368620 0.397617 3.40116 0.0439170 0.0489480 1.28810
   52 6383.531   0.493186 6121.53 1876.170 74.2386 1.368380 0.397404 3.39773 0.0438475 0.0488956 1.28870
   53 6383.525   0.493509 6108.31 1876.480 74.3727 1.368800 0.396947 3.39070 0.0437381 0.0488331 1.28975
   54 6383.515   0.494052 6082.57 1874.540 74.6841 1.372250 0.395539 3.37388 0.0435026 0.0487628 1.29213
   55 6383.499   0.494743 6038.53 1868.280 75.2560 1.382570 0.392579 3.34136 0.0431095 0.0487707 1.29632
   56 6383.486   0.495205 5980.34 1854.430 76.0514 1.404290 0.387491 3.29125 0.0425557 0.0489250 1.30246
   57 6383.474   0.494907 5943.11 1840.800 76.5425 1.427950 0.383446 3.25279 0.0422471 0.0492933 1.30633
   58 6383.457   0.494173 5943.31 1836.210 76.4670 1.439470 0.382885 3.24641 0.0423424 0.0496679 1.30578
   59 6383.446   0.493756 5951.55 1837.130 76.2625 1.440440 0.383404 3.25175 0.0424350 0.0497455 1.30472
   60 6383.439   0.493591 5955.07 1838.800 76.1433 1.439620 0.383921 3.25562 0.0424946 0.0497744 1.30401
   61 6383.435   0.493523 5955.71 1839.480 76.0852 1.439210 0.384101 3.25681 0.0425067 0.0497686 1.30379
   62 6383.431   0.493406 5953.02 1840.400 76.0019 1.439370 0.384297 3.25650 0.0425193 0.0497764 1.30356
