
 WorkFlow
Start 2024-09-09 11:40:39  Run : 14.6 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa     K12     K21    dVdWT
    1 6446.887   0.442436 6354.11 2375.61 50.8694 1.016670 1.96013 3.16763 1.107950
    2 6432.774   0.562022 6624.27 1968.46 44.6757 0.912854 1.55496 3.52966 1.061060
    3 6423.365   0.490458 6557.41 1830.89 44.7846 0.875839 1.56525 3.49348 1.032450
    4 6419.467   0.476812 6239.75 1840.66 46.0296 0.906657 1.68881 3.32526 1.015530
    5 6412.252   0.466991 5623.28 1666.65 46.0162 0.926274 1.81231 3.04639 0.956489
    6 6397.891   0.454503 4060.71 1132.29 42.6690 0.967407 1.94317 2.49881 0.813914
    7 6393.226   0.479571 4093.18 1051.94 41.4803 0.958005 1.85789 2.60693 0.825673
    8 6393.208   0.480887 4112.83 1053.75 41.4640 0.956883 1.85448 2.61699 0.829925
    9 6392.536   0.493068 4097.79 1072.38 41.8791 0.927184 1.89953 2.59680 0.892434
   10 6392.181   0.493073 4077.62 1040.94 41.6999 0.876854 1.90013 2.57518 0.956663
   11 6391.686   0.483718 4072.79 1047.55 40.8366 0.873875 1.89262 2.57146 1.013980
   12 6391.169   0.477749 4064.17 1068.72 39.7812 0.886031 1.91320 2.48368 1.088240
   13 6391.151   0.475443 4121.48 1052.61 39.0619 0.924865 1.95873 2.36233 1.030440
   14 6390.537   0.484580 4165.00 1058.54 38.3711 0.902562 1.96704 2.27176 1.025740
   15 6390.046   0.497094 4270.33 1092.50 36.6893 0.856314 2.02089 2.06513 1.012810
   16 6389.694   0.494033 4258.52 1120.56 36.7647 0.848834 1.98429 2.10698 0.996572
   17 6389.692   0.494072 4258.62 1120.88 36.7828 0.848644 1.98378 2.10914 0.995950
   18 6389.685   0.493855 4258.30 1119.53 36.8967 0.850022 1.98401 2.12758 0.996103
   19 6389.623   0.490519 4270.93 1105.59 37.7839 0.832659 1.98423 2.22318 1.023480
   20 6389.380   0.488060 4307.82 1130.97 37.3562 0.824661 1.97932 2.23723 1.020350
   21 6389.192   0.485946 4414.27 1184.70 36.2678 0.811483 1.99499 2.21998 0.986651
   22 6389.114   0.487791 4430.41 1177.93 35.6638 0.805253 2.02912 2.19083 0.980649
   23 6389.092   0.488886 4437.94 1175.38 35.2305 0.801475 2.06042 2.16922 0.972382
   24 6388.843   0.489862 4362.08 1165.01 34.6052 0.804416 2.19532 2.12203 0.928911
   25 6388.730   0.487170 4342.14 1166.68 34.7731 0.798042 2.20961 2.15649 0.926414
   26 6388.665   0.485162 4333.53 1170.75 34.6397 0.793766 2.22656 2.17068 0.917041
   27 6388.631   0.484744 4321.82 1171.98 34.5871 0.791853 2.24066 2.17700 0.911375
   28 6388.619   0.485064 4312.10 1173.95 34.3364 0.787348 2.26475 2.17604 0.903342
   29 6388.614   0.485184 4321.02 1174.07 34.3945 0.787577 2.24778 2.17431 0.906978
   30 6388.595   0.486000 4352.15 1171.68 34.8672 0.794253 2.16842 2.16213 0.925970
   31 6388.571   0.486173 4341.22 1171.24 34.7547 0.794153 2.17985 2.15198 0.922853
   32 6388.567   0.485955 4325.19 1169.60 34.7007 0.793320 2.19268 2.14640 0.920337
   33 6388.553   0.485270 4322.81 1169.68 34.6039 0.793488 2.19383 2.13927 0.921180
   34 6388.521   0.483160 4318.65 1170.61 34.3257 0.795161 2.18250 2.10956 0.927706
   35 6388.509   0.483972 4316.55 1169.03 34.3811 0.794180 2.18373 2.11276 0.930191
   36 6388.503   0.485713 4310.76 1163.99 34.3628 0.788570 2.19571 2.11077 0.938050
   37 6388.499   0.486590 4292.40 1159.91 34.1743 0.782795 2.21741 2.09951 0.944076
   38 6388.499   0.485956 4278.01 1156.08 33.9349 0.781250 2.21790 2.07048 0.951377
   39 6388.495   0.485792 4278.54 1156.09 33.9278 0.781583 2.21437 2.06826 0.952360
   40 6388.470   0.483252 4291.98 1158.50 33.9851 0.787965 2.15558 2.05130 0.965172
   41 6388.448   0.483715 4286.22 1152.58 33.9716 0.783947 2.13752 2.03457 0.983593
   42 6388.447   0.483718 4286.22 1152.57 33.9717 0.783936 2.13751 2.03455 0.983614
   43 6388.403   0.483791 4285.27 1152.94 33.9789 0.784011 2.13923 2.03162 0.984254
   44 6388.402   0.483817 4284.61 1152.90 33.9834 0.783956 2.13983 2.02961 0.984372
   45 6388.399   0.483814 4283.77 1152.90 33.9856 0.783912 2.14042 2.02809 0.984434
   46 6388.396   0.483890 4279.77 1152.86 33.9844 0.783621 2.14457 2.02058 0.984399
   47 6388.396   0.483890 4279.77 1152.86 33.9844 0.783621 2.14457 2.02058 0.984399
   48 6388.395   0.483822 4277.55 1152.90 33.9734 0.783615 2.14147 2.01901 0.982855
   49 6388.395   0.483822 4277.55 1152.90 33.9734 0.783615 2.14147 2.01901 0.982855
   50 6388.395   0.483822 4277.55 1152.90 33.9734 0.783615 2.14147 2.01901 0.982855
