Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,CEps
WorkFlow,1,,,,,,
WorkFlow,0.259946217130883,1,,,,,
WorkFlow,-0.696084110704817,-0.238682619574928,1,,,,
WorkFlow,-0.808330966135568,-0.288185158707611,0.959307367990792,1,,,
WorkFlow,0.208896451366025,-0.0509572630925256,-0.52381647710055,-0.523252718599648,1,,
WorkFlow,0.207070543503048,0.00698167601548234,-0.515704406706353,-0.521777349089213,0.634138473263177,1,
WorkFlow,-0.0701854096853461,-0.290798143408039,0.292387217587672,0.293876483741744,-0.0599099176607704,-0.25634887816888,1
