Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,192422.769644481,,,,,,,,,,
WorkFlow,13069.904614007,887.745555206952,,,,,,,,,
WorkFlow,-538299578.226874,-36562847.2700628,1505884412316.5,,,,,,,,
WorkFlow,-63561846.609486,-4317302.28139767,177813220358.959,20996008003.6746,,,,,,,
WorkFlow,-4501003.91129215,-305721.051915239,12591485544.266,1486789370.63387,105283993.072377,,,,,,
WorkFlow,41034.2206679262,2787.16145748617,-114792568.333818,-13554586.2336484,-959840.577820741,8750.56534211847,,,,,
WorkFlow,11474.6633120671,779.391945533893,-32100185.1736132,-3790355.92379951,-268406.411347326,2446.97589576634,684.263615220937,,,,
WorkFlow,45389.840531922,3083.00780151025,-126977345.737407,-14993350.9409233,-1061723.89299893,9679.39897831858,2706.71265183844,10706.828890615,,,
WorkFlow,-1969.10136220613,-133.747002402098,5508529.45485897,650441.232937766,46059.6896891046,-419.911488160248,-117.422566726601,-464.483490795141,20.1502194111435,,
WorkFlow,-343.390653998043,-23.3240760258862,960629.826106612,113430.145879075,8032.32748942951,-73.2281703639138,-20.4772658285621,-81.0010554411023,3.51398685742678,0.612802475863049,
WorkFlow,-233318858.793641,-15847684.2195333,652705737601.136,77070804563.1794,5457613514.39328,-49755326.370754,-13913402.1946059,-55036657.1657952,2387599.42475561,416372.331561297,282906700483.501
