Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,GAMMA,1.30367582979691,,438.660198381938,33647.9505376941,-860.698146233817,863.305497893411,
WorkFlow,CMultStdev,0.509515936162992,,29.7950592415412,5847.7188105084,-58.0401210024944,59.0591528748204,
WorkFlow,tvVmax,5117.65411087319,,1227144.82124829,23978.658867176,-2406318.52303446,2416553.83125621,
WorkFlow,tvKm,2727.60735039269,,144899.993111368,5312.34794812044,-282012.285942255,287467.50064304,
WorkFlow,tvV,75.7627778869643,,10260.7988515698,13543.3244896044,-20087.5147168729,20239.0402726469,
WorkFlow,tvKa,1.30804006420504,,93.5444565012725,7151.49780661528,-182.514180974957,185.130261103368,
WorkFlow,K12,0.0566814429453356,,26.1584329656984,46149.9065768773,-51.3466985808973,51.4600614667879,
WorkFlow,K21,0.13089908407496,,103.4738077516,79048.5345889394,-203.203278821161,203.465076989311,
WorkFlow,K13,0.0402490342443777,,4.48889957686107,11152.813132375,-8.78079200979797,8.86129007828672,
WorkFlow,K31,0.00589380034980725,,0.78281701301329,13282.041578468,-1.53240325520461,1.54419085590423,
WorkFlow,CEps,0.503311791113273,,531889.74466848,105677982.129526,-1045204.71642865,1045205.72305224,
