Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,0.999999848224694,1,,,,,,,,,
WorkFlow,-0.999999976768942,-0.999999852938702,1,,,,,,,,
WorkFlow,-0.999999793676769,-0.999999629987948,0.999999686263192,1,,,,,,,
WorkFlow,-0.999999967008553,-0.999999811158533,0.999999950100541,0.999999789966436,1,,,,,,
WorkFlow,0.999999776322046,0.999999581765695,-0.999999764634604,-0.999999640786457,-0.999999714517005,1,,,,,
WorkFlow,0.999999992851487,0.999999853289529,-0.99999998840461,-0.999999780301847,-0.999999971736969,0.999999796101471,1,,,,
WorkFlow,0.99999998890216,0.999999860397223,-0.999999987558334,-0.999999793942667,-0.999999967273751,0.999999779953125,0.999999995589727,1,,,
WorkFlow,-0.999999889951668,-0.999999802464345,0.999999924845694,0.999999562102019,0.999999871167976,-0.999999564084483,-0.9999998982779,-0.999999911649788,1,,
WorkFlow,-0.999999964392967,-0.999999860567653,0.999999981889276,0.999999701014204,0.999999947874814,-0.999999704234621,-0.999999974080803,-0.99999997940624,0.999999971243996,1,
WorkFlow,-0.999999990913925,-0.999999859106734,0.999999987676123,0.999999795314351,0.999999969425678,-0.999999784689237,-0.999999997380441,-0.999999999653349,0.999999905753264,0.999999976913731,1
