
 WorkFlow
Start 2024-10-22 08:48:45  Run : 39.95 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa       K12     K21        K13       K31
    1 7991.892 1.733150   1.123380 3929.53 4068.250 44.6672 1.202750 0.9960500 3.95036 0.11848100 0.0247186
    2 7019.919 1.742040   1.133800 3921.38 4079.850 44.0057 1.199310 0.7579990 4.14305 0.12283700 0.0246195
    3 7006.695 1.741550   1.127550 3921.69 4079.350 44.1918 1.197930 0.7773050 4.12783 0.12249700 0.0246060
    4 7002.882 1.741680   1.119060 3921.58 4079.520 44.4055 1.195470 0.7825530 4.12312 0.12241000 0.0246364
    5 6990.945 1.742750   1.083560 3920.75 4080.820 45.2838 1.184700 0.7903830 4.11431 0.12229400 0.0247952
    6 6962.304 1.746430   0.985143 3917.93 4085.230 47.8002 1.153550 0.7963090 4.10182 0.12224100 0.0252836
    7 6902.525 1.756230   0.764961 3910.44 4097.000 54.1509 1.077800 0.7892060 4.08804 0.12244100 0.0265323
    8 6862.795 1.769220   0.533932 3900.47 4112.740 62.3829 0.986074 0.7575860 4.08873 0.12298400 0.0281594
    9 6837.357 1.764820   0.623637 3903.72 4107.660 58.9210 1.022070 0.7508610 4.10280 0.12293900 0.0275764
   10 6833.560 1.766000   0.612567 3902.67 4109.390 59.2717 1.016830 0.7392380 4.10969 0.12290100 0.0277429
   11 6833.177 1.766000   0.613953 3902.51 4109.650 59.1589 1.017220 0.7385670 4.10973 0.12269500 0.0277841
   12 6825.644 1.767010   0.629638 3897.10 4117.990 56.8794 1.019320 0.7252530 4.10414 0.11694600 0.0290858
   13 6816.797 1.769560   0.627953 3888.45 4131.500 54.4971 1.012940 0.7097890 4.09077 0.10872900 0.0312186
   14 6803.948 1.777190   0.589408 3867.06 4165.140 50.3239 0.984642 0.6769270 4.05407 0.09060800 0.0368104
   15 6801.395 1.779020   0.559079 3865.34 4167.930 51.2975 0.972172 0.6732900 4.05165 0.09020690 0.0372315
   16 6800.723 1.778830   0.552452 3866.45 4166.210 51.9064 0.970927 0.6764500 4.05091 0.09116490 0.0369984
