Scenario,Label,nVmax,nKm,nV,nKa
WorkFlow,nVmax,1622.3707078037,0,0,0
WorkFlow,nKm,0,389.114855628155,0,0
WorkFlow,nV,0,0,174.445321113674,0
WorkFlow,nKa,0,0,0,1310.17994204967
