Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,
WorkFlow,-0.434034253617408,1,,,,,,,,,
WorkFlow,0.402096760504274,-0.934949625658016,1,,,,,,,,
WorkFlow,-0.317632294057106,0.186515905049955,-0.20578874187278,1,,,,,,,
WorkFlow,0.100232835705335,-0.112180110760672,-0.0311177289240203,0.416232043344737,1,,,,,,
WorkFlow,0.426055464853118,-0.913472094670953,0.973837477568739,-0.266589826033513,-0.037730157283558,1,,,,,
WorkFlow,0.408943090997794,-0.909202368646721,0.969144276878116,-0.233143470511957,0.00969943065275298,0.987114407373506,1,,,,
WorkFlow,0.237004088822231,-0.464436521538396,0.535663260758208,-0.270280426808378,-0.300192021801044,0.606849095738213,0.485053769896802,1,,,
WorkFlow,0.346168672801018,-0.0861256195070115,0.0247018234048449,0.175126092752557,0.227598490402778,-0.064398334080866,-0.0972840426025954,-0.0471096963871772,1,,
WorkFlow,0.385032499842359,-0.525391301181636,0.53696733722366,-0.0763783105470238,0.017261334037506,0.505277656416259,0.509909668732265,0.227672352006068,0.11121041007629,1,
WorkFlow,0.0261113636889165,-0.28648828451029,0.361026112545946,-0.134156890524134,-0.0109007444889577,0.416849931242269,0.450858896971174,0.211749929526045,-0.32582552537215,0.134610292425656,1
