
 WorkFlow
Start 2024-10-19 14:19:01  Run : 6.01666666666667 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
    1 7189.298   1.126460 3874.44 4116.610 44.9525 1.195300 0.955531 4.001170 0.1201930 0.0246930 1.097200
    2 6807.695   1.130910 3860.64 4129.160 44.6213 1.191650 0.812091 4.113050 0.1225100 0.0249027 1.097000
    3 6805.274   1.125700 3860.33 4129.320 44.7388 1.189260 0.809964 4.114150 0.1224390 0.0249688 1.097070
    4 6728.237   0.868883 3848.52 4134.430 51.1647 1.066090 0.739218 4.142530 0.1180650 0.0284454 1.100790
    5 6688.588   0.743488 3845.26 4133.990 54.8090 1.001610 0.726543 4.139760 0.1152130 0.0303596 1.102790
    6 6640.818   0.565947 3846.71 4126.520 60.7173 0.903884 0.746264 4.106830 0.1098040 0.0334714 1.105890
    7 6635.265   0.638164 3850.07 4125.600 58.1338 0.944891 0.752300 4.109890 0.1115130 0.0322020 1.104560
    8 6634.211   0.622289 3851.11 4123.920 58.6290 0.935448 0.749377 4.109900 0.1109120 0.0325698 1.104830
    9 6632.414   0.602071 3856.28 4117.650 59.1662 0.922398 0.745838 4.108840 0.1096410 0.0332250 1.105140
   10 6628.423   0.572206 3872.97 4098.830 59.7268 0.900563 0.737715 4.106920 0.1066230 0.0346693 1.105540
   11 6619.678   0.541198 3911.96 4056.690 59.7414 0.872435 0.724058 4.103210 0.1009080 0.0372982 1.105810
   12 6600.760   0.507029 4018.38 3945.910 58.0898 0.827112 0.690236 4.097150 0.0877935 0.0436558 1.105640
   13 6582.750   0.515321 4131.62 3833.320 54.8705 0.808480 0.649703 4.100440 0.0766528 0.0495682 1.104660
   14 6574.476   0.542038 4206.61 3761.910 52.2922 0.813867 0.628987 4.102190 0.0711115 0.0525957 1.103710
   15 6573.221   0.550911 4240.56 3730.570 51.4464 0.818269 0.621503 4.102180 0.0692655 0.0536947 1.103470
   16 6571.821   0.557344 4273.53 3701.120 50.9502 0.826429 0.616725 4.101350 0.0683180 0.0543232 1.103410
   17 6567.206   0.569198 4382.55 3606.190 50.0151 0.855501 0.606249 4.095600 0.0662823 0.0558860 1.103650
   18 6557.771   0.580358 4592.41 3432.100 49.3996 0.920731 0.592024 4.083110 0.0649327 0.0575683 1.104730
   19 6539.064   0.573486 5169.49 2992.320 48.8787 1.071910 0.556713 4.045020 0.0601077 0.0634155 1.108180
   20 6512.652   0.560451 5860.03 2542.400 51.5225 1.314600 0.542580 3.996320 0.0650209 0.0635324 1.113960
   21 6494.920   0.521381 6490.44 2184.580 55.4316 1.519330 0.539182 3.947480 0.0703139 0.0633795 1.119770
   22 6491.766   0.502854 6524.37 2167.840 57.5151 1.542390 0.550437 3.939100 0.0740772 0.0614891 1.121060
   23 6490.936   0.495513 6465.31 2197.610 57.5989 1.512520 0.550045 3.942230 0.0729856 0.0620108 1.120680
   24 6490.262   0.490026 6316.95 2275.720 57.6354 1.453870 0.552422 3.950670 0.0717958 0.0622306 1.119730
   25 6489.892   0.489918 6287.27 2290.330 57.7061 1.438820 0.552125 3.952320 0.0713720 0.0624067 1.119510
   26 6486.831   0.489796 6215.61 2310.750 59.2001 1.360420 0.544185 3.954120 0.0683975 0.0644212 1.118980
   27 6483.163   0.500210 6154.65 2318.510 62.0204 1.286140 0.540891 3.951460 0.0674248 0.0653253 1.118760
   28 6479.373   0.516217 6297.05 2211.890 65.7376 1.284190 0.536880 3.933450 0.0683175 0.0658716 1.120060
   29 6477.826   0.527011 6512.25 2081.220 68.4817 1.328650 0.534457 3.912850 0.0699513 0.0660171 1.121750
   30 6477.757   0.528649 6545.07 2061.420 69.0034 1.336790 0.534962 3.909000 0.0704402 0.0658842 1.122010
   31 6477.738   0.529118 6559.10 2054.040 69.0453 1.343530 0.535425 3.907570 0.0707011 0.0657607 1.122070
   32 6477.736   0.529271 6577.28 2044.740 68.9563 1.351850 0.535234 3.906040 0.0708080 0.0657386 1.122080
   33 6477.730   0.529034 6567.18 2049.690 68.9241 1.348080 0.535151 3.906680 0.0706973 0.0657710 1.121980
   34 6477.728   0.528875 6563.07 2050.620 68.9987 1.344880 0.534849 3.906510 0.0705968 0.0658375 1.121910
   35 6477.728   0.528840 6562.18 2050.900 69.0072 1.344340 0.534806 3.906500 0.0705800 0.0658470 1.121900
   36 6477.727   0.528836 6562.08 2050.930 69.0081 1.344280 0.534801 3.906500 0.0705782 0.0658481 1.121900
