Scenario,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,0.000412753247461044,,,,,,,,,,
WorkFlow,-2.99016149217766,114987.539116188,,,,,,,,,
WorkFlow,14.0619353258128,-545736.340535319,2963047.0320209,,,,,,,,
WorkFlow,-0.0227402582643378,222.877770015382,-1248.29254426336,12.4179808012615,,,,,,,
WorkFlow,0.000173307039176963,-3.23744344399208,-4.55866944159335,0.124830853271969,0.00724305648538553,,,,,,
WorkFlow,0.000636729341501263,-22.7857930299745,123.310264770432,-0.0691054878052846,-0.000236207142237392,0.0054111172851293,,,,,
WorkFlow,0.00268210342828431,-99.5298489149481,538.548852051368,-0.265226030544641,0.000266486108537361,0.02344112014804,0.104216094293019,,,,
WorkFlow,3.53218134249596e-05,-1.15529703211168,6.76399125389377,-0.00698685921420271,-0.000187413981044372,0.000327465903512853,0.00114868033202469,5.38125792455091e-05,,,
WorkFlow,4.8174960590409e-05,-0.200053477122825,0.291263886803015,0.00422731592664008,0.000132684034579185,-3.2449384386966e-05,-0.000215128208888467,-2.36723059447048e-06,4.69220211794185e-05,,
WorkFlow,0.00114939762693363,-26.1779675765371,135.814081020705,-0.0395478790687436,0.000215855416392235,0.00546136528386567,0.0241873506776728,0.000245402993448823,0.000111933853544014,0.0215901328855297,
WorkFlow,0.000554314597783655,-101.511154997241,649.365782128887,-0.493992082466901,-0.000969390163508402,0.0320409010231911,0.152086110511478,0.00162310528246282,-0.00233214190352725,0.0206674758082822,1.09185011729129
