
 WorkFlow
Start 2024-10-19 12:42:08  Run : 6.53333333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax    tvKm     tvV     tvKa     K12     K21   dVdWT
    1 6396.908   0.587180 6843.66 2101.93 51.0785 1.085800 1.99685 3.03956 1.13978
    2 6393.312   0.494814 7131.82 1767.21 44.9769 0.995858 1.88736 3.23617 1.14433
    3 6373.162   0.519832 6822.00 1969.57 44.5949 0.968358 1.88088 3.25649 1.14927
    4 6370.826   0.506287 6636.36 2028.51 44.2853 0.905027 1.87440 3.27930 1.15726
    5 6369.629   0.512302 6502.62 2011.66 43.2718 0.859809 1.85983 3.29243 1.16611
    6 6368.305   0.512035 6391.94 1969.61 42.9756 0.852182 1.86670 3.26657 1.17826
    7 6360.773   0.514076 5540.97 1598.90 42.1458 0.867988 1.98144 3.01116 1.29691
    8 6360.046   0.511002 5198.34 1477.06 41.9132 0.894582 2.03153 2.88093 1.33797
    9 6359.935   0.511642 5243.79 1484.54 41.9949 0.901396 2.02650 2.88374 1.32862
   10 6359.849   0.512167 5274.46 1473.28 42.0254 0.920003 2.02065 2.86025 1.31246
   11 6359.634   0.512286 5274.71 1493.28 42.0829 0.919476 2.01805 2.86028 1.29960
   12 6359.484   0.510431 5309.57 1526.68 42.1073 0.905751 2.01686 2.87415 1.27814
   13 6359.412   0.512733 5289.58 1509.92 42.1207 0.903670 2.03029 2.88062 1.28740
   14 6359.408   0.521347 5227.87 1449.44 42.2091 0.896876 2.08262 2.89247 1.29943
   15 6359.155   0.517014 5229.02 1463.28 42.1127 0.903950 2.08700 2.89988 1.29688
   16 6358.823   0.501585 5128.29 1472.08 41.3065 0.927540 2.17858 2.97036 1.30547
   17 6358.424   0.507612 5097.96 1448.04 41.4322 0.927629 2.22174 2.98783 1.30988
   18 6358.087   0.525560 4921.23 1346.07 41.5479 0.935343 2.47664 3.11184 1.33533
   19 6358.031   0.526677 4809.45 1300.91 41.1702 0.940913 2.59944 3.19264 1.35225
   20 6357.594   0.518739 4799.82 1317.80 40.5476 0.933760 2.61442 3.25349 1.35263
   21 6357.528   0.509791 4836.66 1348.79 40.1268 0.925594 2.56595 3.26263 1.34985
   22 6357.462   0.511524 4859.44 1347.12 40.2498 0.932993 2.57041 3.24524 1.34401
   23 6357.420   0.514408 4909.57 1353.72 40.4468 0.941435 2.60069 3.23293 1.33429
   24 6357.358   0.513394 4958.38 1369.31 40.3271 0.941581 2.61513 3.24341 1.32247
   25 6357.257   0.511924 4962.46 1378.58 40.0678 0.933788 2.62466 3.25645 1.32341
   26 6357.198   0.510467 4988.51 1397.67 39.8578 0.918531 2.64016 3.26960 1.31993
   27 6357.163   0.509738 5067.10 1436.49 39.4160 0.899811 2.70687 3.29364 1.30807
   28 6357.162   0.509556 5095.73 1449.12 39.2297 0.895704 2.73036 3.30092 1.30363
   29 6357.075   0.511173 5127.06 1455.57 39.0518 0.901926 2.75276 3.29490 1.29896
   30 6357.015   0.513788 5130.50 1441.68 38.9102 0.915783 2.80979 3.29225 1.29831
   31 6357.014   0.512716 5096.14 1428.23 38.9101 0.916864 2.81101 3.28820 1.30364
