
 WorkFlow
Start 2024-10-19 11:02:20  Run : 10.35 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa     K12      K21
   73 6398.182   0.488022 4237.68 1136.080 24.5025 0.514490 1.52924 0.864266
   74 6398.162   0.488217 4203.87 1122.030 24.4069 0.512218 1.52530 0.854186
   75 6398.148   0.487562 4171.35 1106.520 24.2603 0.509722 1.51622 0.841469
   76 6398.143   0.487059 4163.26 1100.990 24.1210 0.506209 1.49958 0.826704
   77 6398.139   0.486825 4160.30 1098.640 24.0187 0.502973 1.48532 0.814916
   78 6398.138   0.486632 4160.81 1098.310 23.9849 0.501780 1.47821 0.810669
   79 6398.131   0.486562 4159.03 1096.950 23.9398 0.499409 1.46537 0.801977
   80 6398.116   0.486520 4149.56 1092.860 23.9523 0.497431 1.44540 0.792185
   81 6398.108   0.486700 4140.44 1089.980 24.0318 0.498406 1.44255 0.792593
   82 6398.105   0.486941 4134.23 1088.700 24.1326 0.500749 1.44874 0.798564
   83 6398.102   0.487044 4137.19 1090.470 24.1936 0.502192 1.45254 0.802765
   84 6398.099   0.487161 4136.70 1090.520 24.2191 0.502309 1.45082 0.802153
   85 6398.086   0.487303 4141.08 1092.790 24.3187 0.503513 1.44835 0.804170
   86 6398.065   0.487396 4143.53 1093.410 24.4720 0.504876 1.43511 0.802777
   87 6398.042   0.487207 4142.59 1091.540 24.6000 0.503941 1.40177 0.789934
   88 6398.032   0.486912 4147.24 1091.050 24.6675 0.502712 1.37486 0.779257
