
 WorkFlow
Start 2024-10-19 11:18:18  Run : 28.2833333333333 nSubj: 60 nObs : 480
 Iter     -2LL CMultStdev  tvVmax     tvKm     tvV     tvKa       K12      K21
   71 6448.803   0.523936 4781.58 1339.300 61.3460 1.346510 1.3435300  7.32569
   72 6447.888   0.524627 5389.71 1546.860 62.7516 1.299870 0.5984690  3.97871
   73 6447.270   0.520393 5602.41 1612.050 64.0251 1.273590 0.3391600  2.79153
   74 6446.657   0.517322 5634.17 1596.950 66.1616 1.269190 0.2064960  2.11155
   75 6446.432   0.519012 5463.63 1523.260 67.3714 1.287180 0.2218470  2.26169
   76 6446.212   0.521098 5532.73 1544.020 68.3948 1.288400 0.1374760  1.86531
   77 6446.151   0.521800 5556.26 1554.400 68.6683 1.303050 0.1134130  1.75253
   78 6446.124   0.521705 5576.71 1565.230 68.7264 1.309060 0.1050080  1.73073
   79 6446.097   0.521107 5631.28 1587.560 68.9644 1.314960 0.0860721  1.62390
   80 6446.086   0.520520 5628.87 1586.810 68.9930 1.317590 0.0923769  1.66864
   81 6446.074   0.519961 5654.67 1595.080 69.1292 1.315620 0.0895287  1.63086
   82 6446.066   0.519911 5678.82 1602.040 69.2985 1.313150 0.0815911  1.55549
   83 6446.057   0.520181 5685.30 1602.770 69.3338 1.312130 0.0786839  1.51034
   84 6446.038   0.520776 5700.62 1605.250 69.4781 1.312720 0.0709522  1.40040
   85 6446.010   0.521438 5734.13 1612.030 69.8496 1.313720 0.0526261  1.17117
   86 6445.984   0.521335 5724.80 1609.220 69.8014 1.314100 0.0539877  1.16341
   87 6445.936   0.520957 5660.97 1590.190 69.3822 1.313070 0.0712466  1.25235
   88 6445.896   0.520715 5653.63 1587.660 69.5832 1.311080 0.0652978  1.23580
   89 6445.886   0.520645 5660.00 1588.510 69.7495 1.313080 0.0611808  1.21636
   90 6445.884   0.520727 5653.55 1585.410 69.7405 1.313230 0.0605327  1.19551
   91 6445.882   0.520930 5646.02 1581.150 69.7676 1.313150 0.0569340  1.14230
   92 6445.882   0.520802 5647.31 1582.700 69.7214 1.313210 0.0581271  1.15812
   93 6445.881   0.520800 5647.37 1582.750 69.7208 1.313210 0.0581539  1.15862
   94 6445.881   0.520800 5647.37 1582.750 69.7208 1.313210 0.0581539  1.15862
   95 6445.881   0.520326 5645.17 1582.310 69.6139 1.313390 0.0581709  1.15786
   96 6445.877   0.519996 5643.22 1582.040 69.5453 1.313600 0.0582056  1.15722
   97 6445.877   0.519996 5643.22 1582.040 69.5453 1.313600 0.0582056  1.15722
   98 6445.877   0.519996 5643.22 1582.040 69.5453 1.313600 0.0582056  1.15722
