Scenario,Var Name,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,stdev0,nVmax-nVmax,nKm-nVmax,nKm-nKm,nV-nVmax,nV-nKm,nV-nV
WorkFlow,CMultStdev,0.0014950083,,,,,,,,,,,,,
WorkFlow,tvVmax,20.298414,2334908.8,,,,,,,,,,,,
WorkFlow,tvKm,4.0686112,798631.4,290815.01,,,,,,,,,,,
WorkFlow,tvV,-1.0370769,-3663.4175,1812.9921,7157.632,,,,,,,,,,
WorkFlow,tvKa,-0.0078063101,-167.11588,-35.849457,41.245308,0.26955122,,,,,,,,,
WorkFlow,K12,0.1437725,-1301.6638,-877.36966,-995.61665,-5.4847886,146.73794,,,,,,,,
WorkFlow,K21,-0.37804478,-7697.8631,-1481.9383,2021.6244,12.620245,-254.18075,673.72457,,,,,,,
WorkFlow,stdev0,-0.00030005301,5.6389502,1.5399747,0.76733007,-0.0012166387,-0.31865758,-0.51272486,0.0070778924,,,,,,
WorkFlow,nVmax-nVmax,0.0054642635,305.72297,84.306857,-6.4097396,-0.065043899,0.46821069,-3.5014882,6.805922e-05,0.17173995,,,,,
WorkFlow,nKm-nVmax,0.0012294097,95.419957,30.359424,1.2866576,0.0035325837,-0.23703743,0.079643453,-0.00014691759,0.0085486411,0.015134224,,,,
WorkFlow,nKm-nKm,-0.00065975418,-5.9833629,-0.91672456,0.70254144,0.0030790168,-0.10503059,0.19007084,0.00028889952,0.0018540955,-0.0023157606,0.0025083773,,,
WorkFlow,nV-nVmax,0.0073029854,360.18035,93.485569,-10.215243,-0.095124528,0.87204428,-5.092393,0.00070953797,0.22860638,0.0054185765,0.0030502311,0.31090817,,
WorkFlow,nV-nKm,0.0021802677,129.29146,40.566942,1.3563397,0.0023295765,-0.27439271,-0.056684956,-1.0844512e-05,0.010752925,0.021341448,-0.0045348823,0.0060129542,0.031567443,
WorkFlow,nV-nV,0.0091366749,382.43018,88.292916,-15.88501,-0.13479898,1.5366627,-7.2128242,0.0014207697,0.29687284,-0.0025704181,0.0055198565,0.41346721,-0.0065048296,0.56528474
