Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,GAMMA,1.6,,1.07229074717403,67.0181716983766,-0.507135731154641,3.70713573115464,
WorkFlow,CMultStdev,1,,0.20047247710311,20.047247710311,0.606055800882064,1.39394419911794,
WorkFlow,tvVmax,4000,,18819.2721258625,470.481803146563,-32981.3512195604,40981.3512195604,
WorkFlow,tvKm,4000,,15724.9251107292,393.12312776823,-26900.715741391,34900.715741391,
WorkFlow,tvV,50,,295.78356531964,591.56713063928,-531.237990550501,631.237990550501,
WorkFlow,tvKa,1.2,,4.21844874552959,351.537395460799,-7.08958387002408,9.48958387002408,
WorkFlow,K12,2,,5.12332395653198,256.166197826599,-8.06773489330227,12.0677348933023,
WorkFlow,K21,3,,10.7334017057402,357.780056858007,-18.0919793074843,24.0919793074843,
WorkFlow,K13,0.1,,0.257998494964896,257.998494964896,-0.406987352784109,0.606987352784109,
WorkFlow,K31,0.05,,0.00885889474243789,17.7177894848758,0.0325915744404914,0.0674084255595086,
WorkFlow,dVdWT,1.1,,0.677320886098187,61.5746260089261,-0.230988861291728,2.43098886129173,
WorkFlow,CEps,0.5,,2.96966824076982,593.933648153965,-5.33563187157269,6.33563187157269,
