Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,,
WorkFlow,0.195339903240038,1,,,,,,,,,,
WorkFlow,-0.344742138444639,-0.195181963794105,1,,,,,,,,,
WorkFlow,0.216913069409139,0.197965396458222,0.318058389357897,1,,,,,,,,
WorkFlow,-0.0235029916681241,-0.221059305748326,-0.0515528482720271,-0.615971089843236,1,,,,,,,
WorkFlow,0.0490949079360254,-0.202232099988258,-0.0792729984384573,-0.157896818151892,0.770926539546218,1,,,,,,
WorkFlow,-0.244012002941249,0.0749322512346628,-0.140913538486379,0.0902419190629399,-0.633273049848431,-0.5909823768318,1,,,,,
WorkFlow,-0.258211454648844,-0.0595712360986385,-0.18339054731936,-0.0638088936987401,-0.108996508577155,0.00377180311087016,0.780014947782717,1,,,,
WorkFlow,-0.0055898229208853,0.134088712604103,-0.054560748229834,-0.201440118899653,-0.530332441750444,-0.909091917234663,0.568324616628825,0.0465705673931079,1,,,
WorkFlow,-0.244570168602559,-0.270454290815182,0.0732362342068768,-0.831667823223736,0.873104649567664,0.411920565510212,-0.44401815820559,-0.124858467538789,-0.11484700209143,1,,
WorkFlow,-0.780875660200365,-0.351401299179419,0.267157782354108,-0.692310661678894,0.526446026542753,0.177973493032595,-0.0895032147352852,0.0806657841933555,-0.00223617747619305,0.779928638153535,1,
WorkFlow,0.0982823151194169,0.141068003005406,-0.0225138151777808,-0.0207576988090298,-0.264406176297388,-0.47804179335867,-0.337680724169015,-0.813290189221714,0.399844843072779,-0.0615161142316378,-0.0702116134968777,1
