
 WorkFlow
Start 2024-10-22 13:03:06  Run : 38.6333333333333 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12     K21       K13       K31    dVdWT
   48 6707.072 0.897152   0.526982 5156.53 2768.560 68.5982 1.499380 0.504034 3.36168 0.0819471 0.0483700 1.065140
   49 6706.326 0.895317   0.527613 5217.01 2719.120 67.6470 1.386920 0.502074 3.36375 0.0824590 0.0455654 1.065420
   50 6705.895 0.902740   0.526266 5210.30 2723.580 68.0022 1.358190 0.502503 3.36152 0.0820525 0.0453430 1.065330
   51 6705.512 0.917458   0.523184 5165.56 2758.120 69.1124 1.364860 0.504022 3.35470 0.0807335 0.0465211 1.064850
   52 6705.512 0.917344   0.523396 5165.79 2757.870 69.0909 1.365110 0.503858 3.35441 0.0806892 0.0465366 1.064820
   53 6705.512 0.917313   0.523541 5165.98 2757.660 69.0733 1.365150 0.503772 3.35421 0.0806630 0.0465414 1.064800
   54 6705.511 0.917321   0.523732 5166.14 2757.440 69.0557 1.365290 0.503657 3.35386 0.0806267 0.0465515 1.064770
   55 6705.511 0.917325   0.523830 5166.28 2757.270 69.0470 1.365340 0.503593 3.35364 0.0806086 0.0465555 1.064750
   56 6705.511 0.917340   0.523962 5166.54 2756.960 69.0340 1.365390 0.503504 3.35329 0.0805855 0.0465588 1.064730
   57 6705.510 0.917498   0.524798 5168.30 2754.770 68.9679 1.365960 0.502875 3.35053 0.0804280 0.0465904 1.064580
   58 6705.510 0.917560   0.525026 5168.87 2754.030 68.9517 1.366290 0.502665 3.34952 0.0803781 0.0466035 1.064520
   59 6705.510 0.917700   0.525340 5169.94 2752.730 68.9268 1.366490 0.502357 3.34795 0.0803117 0.0466122 1.064450
   60 6705.509 0.918015   0.525762 5171.47 2750.760 68.8975 1.366910 0.501885 3.34536 0.0802102 0.0466289 1.064330
   61 6705.508 0.918951   0.526877 5176.90 2744.050 68.8078 1.368340 0.500472 3.33714 0.0799365 0.0466599 1.063950
   62 6705.508 0.918951   0.526877 5176.90 2744.050 68.8078 1.368340 0.500472 3.33714 0.0799365 0.0466599 1.063950
   63 6705.373 0.925676   0.523317 5173.48 2741.190 69.0336 1.372160 0.501586 3.31991 0.0801523 0.0464928 1.064100
   64 6705.311 0.937504   0.518033 5165.61 2737.970 69.3842 1.378150 0.500920 3.30087 0.0806884 0.0462530 1.064330
   65 6705.104 0.935840   0.522201 5183.99 2731.670 69.1098 1.377800 0.500478 3.29703 0.0805717 0.0463997 1.064540
   66 6704.815 0.935466   0.525377 5217.17 2702.510 68.6207 1.374330 0.497218 3.26620 0.0804544 0.0465460 1.063700
   67 6704.387 0.944518   0.529245 5317.43 2617.950 67.8617 1.367800 0.487336 3.15509 0.0803475 0.0468252 1.061930
   68 6704.261 0.959198   0.529227 5438.41 2508.680 67.3027 1.357150 0.473122 3.00355 0.0802746 0.0470616 1.058370
