Scenario,Parameter,Estimate,Units,Stderr,CV%,2.5%CI,97.5%CI,Var.Inf.factor
WorkFlow,GAMMA,1.6,,0.725953692756609,45.3721057972881,0.173451833465071,3.02654816653493,
WorkFlow,CMultStdev,1,,0.169842949892897,16.9842949892897,0.666247102003753,1.33375289799625,
WorkFlow,tvVmax,4000,,18357.3453852213,458.933634630533,-32073.4268081144,40073.4268081144,
WorkFlow,tvKm,4000,,7902.59730127336,197.564932531834,-11529.138846567,19529.138846567,
WorkFlow,tvV,50,,128.137684701504,256.275369403008,-201.799227690198,301.799227690198,
WorkFlow,tvKa,1.2,,3.71019689772694e-67,3.09183074810578e-65,1.2,1.2,
WorkFlow,K12,2,,12.3429598514757,617.147992573785,-22.2547519510177,26.2547519510177,
WorkFlow,K21,3,,34.8730232788405,1162.43410929468,-65.5278522808463,71.5278522808463,
WorkFlow,K13,0.1,,0.152611113510695,152.611113510695,-0.199891172596496,0.399891172596497,
WorkFlow,K31,0.05,,0.00527012332559606,10.5402466511921,0.0396438507820049,0.0603561492179951,
WorkFlow,dVdWT,1.1,,0.565458528082883,51.4053207348075,-0.0111642995094221,2.21116429950942,
WorkFlow,CEps,0.5,,9.08882726704991,1817.76545340998,-17.360161058661,18.360161058661,
