Scenario,GAMMA,CMultStdev,tvVmax,tvKm,tvV,tvKa,K12,K21,K13,K31,dVdWT,CEps
WorkFlow,1,,,,,,,,,,,
WorkFlow,-0.239826383967767,1,,,,,,,,,,
WorkFlow,-0.293696850995636,0.11128516605517,1,,,,,,,,,
WorkFlow,-0.70634001966038,0.181184211683167,0.70446247886558,1,,,,,,,,
WorkFlow,-0.0763839079157667,0.000445574470840132,0.830424424777636,0.322806629317929,1,,,,,,,
WorkFlow,0.759654467243957,-0.0815694449867367,-0.393602070755504,-0.758079695722009,-0.0543498632049706,1,,,,,,
WorkFlow,0.43613492496579,-0.148466927648657,-0.391553950764617,-0.648475698713447,-0.0233226261411336,0.797290542509277,1,,,,,
WorkFlow,0.444860549787318,-0.149086244469394,-0.342699229659048,-0.621156206811061,0.0224969184909568,0.799953465345805,0.998169149605533,1,,,,
WorkFlow,0.632584477888352,-0.224251423670316,-0.148156820258731,-0.670324470874053,0.309891768112207,0.781751022431847,0.849930735590665,0.860491689770339,1,,,
WorkFlow,0.255632012469861,-0.0533667316087574,0.608813147490678,-0.0843898348854737,0.88824197165434,0.30440717194705,0.213776160172014,0.251028289033129,0.561023109290702,1,,
WorkFlow,-0.764145963778869,0.150382687055431,0.601081212166123,0.520281822274638,0.588599991787826,-0.520148354094473,-0.276186115953576,-0.266671461152931,-0.250580899244373,0.394487007585808,1,
WorkFlow,0.758153590613373,0.0296682732335429,-0.300341515079545,-0.562861860813974,-0.15176803706311,0.777521676771317,0.244419654958065,0.246447108896689,0.338501688942527,0.18172010174937,-0.591400515872681,1
