
 WorkFlow
Start 2024-10-22 12:47:40  Run : 15.1166666666667 nSubj: 60 nObs : 480
 Iter     -2LL    GAMMA CMultStdev  tvVmax     tvKm     tvV     tvKa      K12      K21       K13       K31    dVdWT
   48 6651.408 1.006960   0.481785 4786.35 3051.000 81.2314 1.342730 0.440079 3.187650 0.0567971 0.0525141 1.165840
   49 6648.997 0.993253   0.498850 4805.21 3026.780 81.4305 1.429400 0.442658 3.162930 0.0582435 0.0525591 1.167200
   50 6647.044 0.985470   0.505006 4833.72 3009.420 79.9115 1.409740 0.444667 3.177000 0.0590185 0.0515452 1.166340
   51 6641.804 0.946729   0.503342 4983.13 2918.710 72.0193 1.378030 0.453478 3.239130 0.0631198 0.0472362 1.162000
   52 6640.495 0.947160   0.498356 5017.13 2908.270 70.0034 1.304180 0.460876 3.283110 0.0652999 0.0450883 1.159620
   53 6640.279 0.937110   0.492854 5042.06 2889.390 70.1437 1.284480 0.456846 3.282960 0.0654343 0.0447826 1.160130
   54 6640.061 0.924999   0.489266 5090.41 2859.950 69.4030 1.251010 0.462731 3.301540 0.0678685 0.0431381 1.159560
   55 6639.975 0.930934   0.491265 5069.38 2872.010 69.7633 1.279390 0.461378 3.291470 0.0672604 0.0437852 1.159860
   56 6639.866 0.931926   0.492427 5074.71 2870.260 69.5975 1.274080 0.464588 3.298070 0.0681606 0.0433028 1.159550
   57 6639.866 0.931944   0.492470 5074.61 2870.290 69.6011 1.274190 0.464552 3.297970 0.0681511 0.0433082 1.159560
   58 6639.555 0.973029   0.496036 5241.01 2775.630 69.8649 1.286110 0.454367 3.199680 0.0661279 0.0418691 1.171640
   59 6639.417 1.051460   0.502586 5536.19 2615.190 70.3217 1.306750 0.429622 3.053010 0.0630390 0.0394319 1.193460
   60 6637.186 1.129150   0.483592 6613.38 2070.990 71.2133 1.309360 0.349071 2.721000 0.0525277 0.0352710 1.255790
   61 6636.233 1.091130   0.489435 6154.54 2282.930 73.6798 1.306770 0.366739 2.758100 0.0547432 0.0380592 1.234920
   62 6636.013 1.114630   0.498793 6327.46 2159.430 73.7944 1.358240 0.347578 2.635010 0.0522915 0.0376041 1.244400
   63 6635.849 1.142000   0.492638 6464.77 2067.130 74.6705 1.389290 0.333214 2.537830 0.0505389 0.0370616 1.252760
   64 6635.842 1.148320   0.491499 6471.01 2047.790 74.8478 1.393800 0.328828 2.506040 0.0499175 0.0369914 1.253320
   65 6635.750 1.158800   0.488109 6370.30 2023.180 75.8237 1.418620 0.320444 2.417700 0.0487807 0.0375291 1.248410
   66 6635.745 1.172730   0.488530 6325.67 1973.620 76.7435 1.432210 0.311287 2.332350 0.0475873 0.0377306 1.247810
   67 6635.669 1.200900   0.488051 6191.96 1890.700 77.0309 1.449980 0.298513 2.186850 0.0460694 0.0381623 1.244380
   68 6635.643 1.229950   0.487652 6050.89 1805.010 77.3194 1.465500 0.285441 2.038490 0.0445742 0.0385687 1.240450
   69 6635.643 1.234320   0.487623 6030.43 1792.800 77.3242 1.467440 0.283487 2.016480 0.0443629 0.0386026 1.240140
   70 6635.557 1.245530   0.488399 5925.03 1754.810 76.9995 1.466430 0.280575 1.964170 0.0442478 0.0386794 1.234200
   71 6635.242 1.260810   0.492357 5551.67 1657.860 75.7970 1.437740 0.281601 1.884430 0.0455448 0.0388041 1.207430
   72 6635.041 1.257000   0.492178 5369.66 1620.240 74.9827 1.412880 0.286652 1.898000 0.0468220 0.0388348 1.192650
   73 6634.893 1.296170   0.490725 4843.87 1391.550 74.2617 1.366490 0.279112 1.745840 0.0477690 0.0392762 1.160500
   74 6634.684 1.269870   0.489015 4832.87 1409.700 73.9706 1.334540 0.293004 1.895940 0.0497203 0.0389508 1.157570
   75 6634.503 1.292610   0.487773 4878.69 1387.360 74.3052 1.365790 0.281288 1.811700 0.0478522 0.0388998 1.168100
   76 6634.253 1.358090   0.487158 4673.45 1226.990 74.9572 1.386320 0.259203 1.624720 0.0452491 0.0388587 1.173330
   77 6633.913 1.404770   0.486739 4512.18 1133.530 75.4729 1.404120 0.245786 1.527260 0.0434898 0.0386627 1.183610
   78 6632.866 1.490960   0.486369 3924.02  923.955 75.8190 1.411880 0.228639 1.388150 0.0420695 0.0383490 1.192920
   79 6632.301 1.537480   0.486061 3507.70  795.909 75.6959 1.406020 0.222470 1.319040 0.0422985 0.0382361 1.189170
   80 6631.683 1.565260   0.486390 3208.50  720.477 75.6673 1.401830 0.221464 1.299090 0.0430229 0.0380918 1.188810
   81 6631.577 1.700730   0.488416 2170.76  426.867 75.6610 1.385590 0.220609 1.214990 0.0481702 0.0372393 1.178370
   82 6630.680 1.639800   0.490354 2454.74  518.974 75.4471 1.378060 0.240216 1.352040 0.0514454 0.0372125 1.175610
   83 6630.317 1.657460   0.488951 2725.79  543.407 75.3010 1.386610 0.234366 1.332010 0.0498362 0.0373622 1.182110
   84 6629.848 1.685620   0.485524 2399.90  476.326 73.9078 1.368980 0.236311 1.302140 0.0516781 0.0382545 1.164360
